nom_amenageur,geo_point_2d,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_local,nom_station,implantation_station,adresse_station,colonne_renomme_13,nbre_pdc,condition_acces,reservation,horaires,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,datagouv_organization_or_owner,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,code_insee_commune,epci,id,code,type,pdc
WAAT sas,"45.216413,5.80693",,,WAAT SAS | FR*WAT,exploitation@waat.fr,,WAAT,520115.0,WAAT/FRWATLPOHCFZ2V,Parking privé à usage public,"10  Avenue Jean Kuntzmann, Montbonnot-Saint-Martin  38330  France",Array,6,Accès libre,False,24/7,False,,,,,2022-06-23,2023-07-16T06:41:35.869000+00:00,gireve-2,5.80693,45.216413,,False,False,38249,LeGresivaudan,520115.0,520115.0,irve,Array
Fastned France,"45.243957,5.86101",853300010.0,support@fastned.nl,,support@fastned.nl,+(33) 184710062,Aire de Saint-Nazaire les Eymes,,Aire de Saint-Nazaire les Eymes,Station dédiée à la recharge rapide,"Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",Array,8,Accès libre,False,24/7,False,Direct,,2022-11-30,,2023-07-16,2023-07-16T10:57:48.369000+00:00,eco-movement,5.86101,45.243957,,False,False,38431,LeGresivaudan,,,irve,Array
,"45.284904,5.882983",,info@chargepoint.com,,info@chargepoint.com,,SONEPAR AED CROLLES,,SONEPAR AED CROLLES,Voirie,"1 Pl. de la Mairie, 38920 Crolles",Array,2,Accès réservé,False,24/7,False,,,2023-06-26,EF connector is available at the site separately,2023-07-15,2023-07-16T10:57:48.369000+00:00,eco-movement,5.882983,45.284904,,False,False,38140,LeGresivaudan,,,irve,Array
,"45.238924,5.81642",,info@chargepoint.com,,info@chargepoint.com,,SUPER U BIVIERS BORNE 1,,SUPER U BIVIERS BORNE 1,Parking privé à usage public,"60 Chem. des Evequaux, 38330 Biviers",Array,2,Accès réservé,False,24/7,False,,,2022-10-11,EF connector is available at the site separately,2023-07-16,2023-07-16T10:57:48.369000+00:00,eco-movement,5.81642,45.238924,,False,False,38045,LeGresivaudan,,,irve,Array
BOTANIC,"45.2232053,5.8203531",312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023790,CPO Alizé Liberté Public,,MONTBONNOT ST MARTIN - Route de la Doux,Voirie,1063 Route de la Doux 38330 MONTBONNOT ST MARTIN,Array,5,Accès libre,False,Mo-Su 00:00-23:59,False,Direct,0,2023-01-12,,2023-03-17,2023-07-16T06:43:07.095000+00:00,alexandre-court-2,5.8203531,45.2232053,38330.0,True,True,38249,LeGresivaudan,,,irve,Array
SPBR1,"45.11147,5.87483",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Chamrousse, Place des Trolles",Voirie,Place des Trolles 38410 Chamrousse,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.87483,45.11147,,False,False,38567,LeGresivaudan,,,irve,Array
SPBR1,"45.376141,6.048525",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Crets-En-Belledonne, St Pierre d'Allevard",Voirie,St Pierre d'Allevard 38570 Crets-En-Belledonne,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,6.048525,45.376141,,False,False,38439,LeGresivaudan,,,irve,Array
SPBR1,"45.283485,5.881739",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Crolles, Avenue Joliot Curie",Voirie,Avenue Joliot Curie 38920 Crolles,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.881739,45.283485,,False,False,38140,LeGresivaudan,,,irve,Array
SPBR1,"45.252998,5.932438",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Laval, Parkinng de la mairie - RD 59",Voirie,Parkinng de la mairie - RD 59 38190 Laval,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.932438,45.252998,,False,False,38206,LeGresivaudan,,,irve,Array
SPBR1,"45.241288,5.820972",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Saint-Ismier, Chemin du Rozat",Voirie,Chemin du Rozat 38330 Saint-Ismier,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-04,2023-07-16T06:42:47.591000+00:00,spbr1,5.820972,45.241288,,False,False,38397,LeGresivaudan,,,irve,Array
SPBR1,"45.226977,5.803005",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Montbonnot-Saint-Martin, Rue du Général de Gaulle",Voirie,Rue du Général de Gaulle 38330 Montbonnot-Saint-Martin,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-04,2023-07-16T06:42:47.591000+00:00,spbr1,5.803005,45.226977,,False,False,38249,LeGresivaudan,,,irve,Array
SPBR1,"45.270236,5.8679",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Bernin, Place des Droits de l'Homme",Voirie,Place des Droits de l'Homme 38190 Bernin,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.8679,45.270236,,False,False,38039,LeGresivaudan,,,irve,Array
