nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesxy,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
ELECTRA,891624884,help@electra.com,ELECTRA,help@electra.com,,ELECTRA,FRELCPSEGBU,,"Saint-Égrève - BUT","Station dédiée à la recharge rapide","3 avenue de l'Île Brune 38120 Saint-Égrève",38382,"5.682108,45.216314",4,FRELCE79VQ,,150,false,false,true,false,false,false,true,true,true,,"Accès libre",true,24/7,"Accessibilité inconnue",Inconnu,false,Direct,N/A,2023-04-21,"Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com",2023-07-17,
ELECTRA,891624884,help@electra.com,ELECTRA,help@electra.com,,ELECTRA,FRELCPSEGBU,,"Saint-Égrève - BUT","Station dédiée à la recharge rapide","3 avenue de l'Île Brune 38120 Saint-Égrève",38382,"5.682108,45.216314",4,FRELCE2U7H,,150,false,false,true,false,false,false,true,true,true,,"Accès libre",true,24/7,"Accessibilité inconnue",Inconnu,false,Direct,N/A,2023-04-21,"Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com",2023-07-17,
ELECTRA,891624884,help@electra.com,ELECTRA,help@electra.com,,ELECTRA,FRELCPSEGBU,,"Saint-Égrève - BUT","Station dédiée à la recharge rapide","3 avenue de l'Île Brune 38120 Saint-Égrève",38382,"5.682108,45.216314",4,FRELCEXTGD,,150,false,false,true,false,false,false,true,true,true,,"Accès libre",true,24/7,"Accessibilité inconnue",Inconnu,false,Direct,N/A,2023-04-21,"Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com",2023-07-17,
ELECTRA,891624884,help@electra.com,ELECTRA,help@electra.com,,ELECTRA,FRELCPSEGBU,,"Saint-Égrève - BUT","Station dédiée à la recharge rapide","3 avenue de l'Île Brune 38120 Saint-Égrève",38382,"5.682108,45.216314",4,FRELCE8EJ4,,150,false,false,true,false,false,false,true,true,true,,"Accès libre",true,24/7,"Accessibilité inconnue",Inconnu,false,Direct,N/A,2023-04-21,"Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com",2023-07-17,
,,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,"Ile Rose",FRIONE43150,FRIONE43150,"Ile Rose","Station dédiée à la recharge rapide","Aire de L’Ile Rose, A48, 38340 Voreppe",38565,"5.623,45.277",5,FRIONE431502,FRIONE431502,350,false,false,true,false,false,false,true,true,,,"Accès libre",false,24/7,"Accessibilité inconnue",inconnu,false,,,2021-12-23,"EF connector is available at the site separately",2023-07-16,false
,,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,"Ile Rose",FRIONE4315,FRIONE4315,"Ile Rose","Station dédiée à la recharge rapide","Aire de L’Ile Rose, A48, 38340 Voreppe",38565,"5.623,45.277",5,FRIONE43155,FRIONE43155,50,false,true,true,true,false,false,true,true,,,"Accès libre",false,24/7,"Accessibilité inconnue",inconnu,false,,,2021-12-23,"EF connector is available at the site separately",2023-07-16,false
,,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,"Ile Rose",FRIONE43150,FRIONE43150,"Ile Rose","Station dédiée à la recharge rapide","Aire de L’Ile Rose, A48, 38340 Voreppe",38565,"5.623,45.277",5,FRIONE431504,FRIONE431504,350,false,false,true,false,false,false,true,true,,,"Accès libre",false,24/7,"Accessibilité inconnue",inconnu,false,,,2021-12-23,"EF connector is available at the site separately",2023-07-16,false
,,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,"Ile Rose",FRIONE43150,FRIONE43150,"Ile Rose","Station dédiée à la recharge rapide","Aire de L’Ile Rose, A48, 38340 Voreppe",38565,"5.623,45.277",5,FRIONE431503,FRIONE431503,350,false,false,true,false,false,false,true,true,,,"Accès libre",false,24/7,"Accessibilité inconnue",inconnu,false,,,2021-12-23,"EF connector is available at the site separately",2023-07-16,false
,,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,"Ile Rose",FRIONE43150,FRIONE43150,"Ile Rose","Station dédiée à la recharge rapide","Aire de L’Ile Rose, A48, 38340 Voreppe",38565,"5.623,45.277",5,FRIONE431501,FRIONE431501,350,false,false,true,false,false,false,true,true,,,"Accès libre",false,24/7,"Accessibilité inconnue",inconnu,false,,,2021-12-23,"EF connector is available at the site separately",2023-07-16,false
,,info@chargepoint.com,,info@chargepoint.com,,"SONEPAR LE VINOUX",FRCPIE6635955,FRCPIE6635955,"SONEPAR LE VINOUX",Voirie,"24 Rue Louis Gagnière, 38950 Saint-Martin-le-Vinoux",38423,"5.685096,45.214781",2,FRCPIE66359551,FRCPIE66359551,21,false,true,false,false,false,false,true,false,,,"Accès libre",false,24/7,"Accessibilité inconnue",inconnu,false,,,2022-10-12,"EF connector is available at the site separately",2023-07-15,false
,,info@chargepoint.com,,info@chargepoint.com,,"SONEPAR LE VINOUX",FRCPIE6635955,FRCPIE6635955,"SONEPAR LE VINOUX",Voirie,"24 Rue Louis Gagnière, 38950 Saint-Martin-le-Vinoux",38423,"5.685096,45.214781",2,FRCPIE66359552,FRCPIE66359552,21,false,true,false,false,false,false,true,false,,,"Accès libre",false,24/7,"Accessibilité inconnue",inconnu,false,,,2022-10-12,"EF connector is available at the site separately",2023-07-15,false
"Fastned France",853300010,support@fastned.nl,,support@fastned.nl,"+(33) 184710062","Aire de Saint-Nazaire les Eymes",FRFASE330970,FRFASE330970,"Aire de Saint-Nazaire les Eymes","Station dédiée à la recharge rapide","Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,FRFASE3309708,FRFASE3309708,300,false,true,true,true,false,false,true,false,true,"0.59€ / kwh","Accès libre",false,24/7,"Accessible mais non réservé PMR","Hauteur maximale 3m",false,Direct,,2022-11-30,,2023-07-16,false
"Fastned France",853300010,support@fastned.nl,,support@fastned.nl,"+(33) 184710062","Aire de Saint-Nazaire les Eymes",FRFASE330970,FRFASE330970,"Aire de Saint-Nazaire les Eymes","Station dédiée à la recharge rapide","Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,FRFASE3309707,FRFASE3309707,300,false,false,true,false,false,false,true,false,true,"0.59€ / kwh","Accès libre",false,24/7,"Accessible mais non réservé PMR","Hauteur maximale 3m",false,Direct,,2022-11-30,,2023-07-16,false
"Fastned France",853300010,support@fastned.nl,,support@fastned.nl,"+(33) 184710062","Aire de Saint-Nazaire les Eymes",FRFASE330970,FRFASE330970,"Aire de Saint-Nazaire les Eymes","Station dédiée à la recharge rapide","Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,FRFASE3309706,FRFASE3309706,300,false,false,true,false,false,false,true,false,true,"0.59€ / kwh","Accès libre",false,24/7,"Accessible mais non réservé PMR","Hauteur maximale 3m",false,Direct,,2022-11-30,,2023-07-16,false
"Fastned France",853300010,support@fastned.nl,,support@fastned.nl,"+(33) 184710062","Aire de Saint-Nazaire les Eymes",FRFASE330970,FRFASE330970,"Aire de Saint-Nazaire les Eymes","Station dédiée à la recharge rapide","Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,FRFASE3309705,FRFASE3309705,300,false,false,true,false,false,false,true,false,true,"0.59€ / kwh","Accès libre",false,24/7,"Accessible mais non réservé PMR","Hauteur maximale 3m",false,Direct,,2022-11-30,,2023-07-16,false
"Fastned France",853300010,support@fastned.nl,,support@fastned.nl,"+(33) 184710062","Aire de Saint-Nazaire les Eymes",FRFASE330970,FRFASE330970,"Aire de Saint-Nazaire les Eymes","Station dédiée à la recharge rapide","Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,FRFASE3309704,FRFASE3309704,300,false,true,true,true,false,false,true,false,true,"0.59€ / kwh","Accès libre",false,24/7,"Accessible mais non réservé PMR","Hauteur maximale 3m",false,Direct,,2022-11-30,,2023-07-16,false
"Fastned France",853300010,support@fastned.nl,,support@fastned.nl,"+(33) 184710062","Aire de Saint-Nazaire les Eymes",FRFASE330970,FRFASE330970,"Aire de Saint-Nazaire les Eymes","Station dédiée à la recharge rapide","Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,FRFASE3309703,FRFASE3309703,300,false,false,true,false,false,false,true,false,true,"0.59€ / kwh","Accès libre",false,24/7,"Accessible mais non réservé PMR","Hauteur maximale 3m",false,Direct,,2022-11-30,,2023-07-16,false
"Fastned France",853300010,support@fastned.nl,,support@fastned.nl,"+(33) 184710062","Aire de Saint-Nazaire les Eymes",FRFASE330970,FRFASE330970,"Aire de Saint-Nazaire les Eymes","Station dédiée à la recharge rapide","Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,FRFASE3309702,FRFASE3309702,300,false,false,true,false,false,false,true,false,true,"0.59€ / kwh","Accès libre",false,24/7,"Accessible mais non réservé PMR","Hauteur maximale 3m",false,Direct,,2022-11-30,,2023-07-16,false
"Fastned France",853300010,support@fastned.nl,,support@fastned.nl,"+(33) 184710062","Aire de Saint-Nazaire les Eymes",FRFASE330970,FRFASE330970,"Aire de Saint-Nazaire les Eymes","Station dédiée à la recharge rapide","Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,FRFASE3309701,FRFASE3309701,300,false,false,true,false,false,false,true,false,true,"0.59€ / kwh","Accès libre",false,24/7,"Accessible mais non réservé PMR","Hauteur maximale 3m",false,Direct,,2022-11-30,,2023-07-16,false
,,info@chargepoint.com,,info@chargepoint.com,,"SONEPAR AED CROLLES",FRCPIE6590225,FRCPIE6590225,"SONEPAR AED CROLLES",Voirie,"1 Pl. de la Mairie, 38920 Crolles",38140,"5.882983,45.284904",2,FRCPIE65902252,FRCPIE65902252,21,false,true,false,false,false,false,true,false,,,"Accès réservé",false,24/7,"Accessibilité inconnue",inconnu,false,,,2023-06-26,"EF connector is available at the site separately",2023-07-15,false
,,info@chargepoint.com,,info@chargepoint.com,,"SONEPAR AED CROLLES",FRCPIE6590225,FRCPIE6590225,"SONEPAR AED CROLLES",Voirie,"1 Pl. de la Mairie, 38920 Crolles",38140,"5.882983,45.284904",2,FRCPIE65902251,FRCPIE65902251,21,false,true,false,false,false,false,true,false,,,"Accès réservé",false,24/7,"Accessibilité inconnue",inconnu,false,,,2023-06-26,"EF connector is available at the site separately",2023-07-15,false
