nom_amenageur,geo_point_2d,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_local,nom_station,implantation_station,adresse_station,colonne_renomme_13,nbre_pdc,condition_acces,reservation,horaires,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,datagouv_organization_or_owner,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,code_insee_commune,epci,id,code,type,pdc
WAAT sas,"45.382478,5.578569",,,WAAT SAS | FR*WAT,exploitation@waat.fr,,WAAT,368758.0,WAAT/FRWATLIVGBARL1,Parking privé à usage public,"14  Rue Louis Armand, Voiron  38500  France",Array,2,Accès libre,False,24/7,False,,,,,2022-05-28,2023-07-16T06:41:35.869000+00:00,gireve-2,5.578569,45.382478,,False,False,38563,PaysVoironnais,368758.0,368758.0,irve,Array
WAAT sas,"45.382478,5.578569",,,WAAT SAS | FR*WA9,exploitation@waat.fr,,WAAT,708680.0,WAAT/FRWA5LYO2JCJWD,Parking privé à usage public,"Rue Louis Leprince Ringuet, Voiron  38500  France",Array,2,Accès libre,False,24/7,False,,,,,2023-02-10,2023-07-16T06:41:35.869000+00:00,gireve-2,5.578569,45.382478,,False,False,38563,PaysVoironnais,708680.0,708680.0,irve,Array
,"45.277,5.623",,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,Ile Rose,,Ile Rose,Station dédiée à la recharge rapide,"Aire de L’Ile Rose, A48, 38340 Voreppe",Array,4,Accès libre,False,24/7,False,,,2021-12-23,EF connector is available at the site separately,2023-07-16,2023-07-16T10:57:48.369000+00:00,eco-movement,5.623,45.277,,False,False,38565,PaysVoironnais,,,irve,Array
,"45.277,5.623",,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,Ile Rose,,Ile Rose,Station dédiée à la recharge rapide,"Aire de L’Ile Rose, A48, 38340 Voreppe",Array,1,Accès libre,False,24/7,False,,,2021-12-23,EF connector is available at the site separately,2023-07-16,2023-07-16T10:57:48.369000+00:00,eco-movement,5.623,45.277,,False,False,38565,PaysVoironnais,,,irve,Array
IONITY,"43.985279,3.183078",838436145.0,info@ionity.eu,IONITY,info@ionity.eu,33187210891,IONITY GMBH,,IONITY Ile Rose,Station dédiée à la recharge rapide,"Aire de l'Ile Rose, A48, 38340 Voreppe",Array,1,Accès libre,False,24/7,False,Direct,50022232569885.0,2021-12-21,Recharge jusqu'à 350KW - CCS,2023-03-21,2023-07-16T06:43:03.688000+00:00,ionity-gmbh,3.183078,43.985279,38340.0,False,True,38407,PaysVoironnais,,,irve,Array
King Jouet Voiron,"45.38413,5.578157",,,E-TOTEM,contact@e-totem.fr,,King Jouet Voiron,,King Jouet Voiron,Parking privé à usage public,6 Rue Louis Leprince Ringuet 38500 VOIRON,Array,5,Accès libre,False,24/7,False,,,2021-06-22,,2023-06-12,2023-07-16T06:42:52.958000+00:00,e-totem,5.578157,45.38413,38500.0,True,True,38563,PaysVoironnais,,,irve,Array
SPBR1,"45.428405,5.513731",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Charavines, Place Du Marche",Voirie,Place Du Marche 38850 Charavines,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-03,2023-07-16T06:42:47.591000+00:00,spbr1,5.513731,45.428405,,False,False,38082,PaysVoironnais,,,irve,Array
SPBR1,"45.368226,5.588077",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Voiron, Avenue Jules Ravat",Voirie,Avenue Jules Ravat 38500 Voiron,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.588077,45.368226,,False,False,38563,PaysVoironnais,,,irve,Array
SPBR1,"45.3500388,5.5698368",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Voiron, Hotel Best Western",Voirie,Hotel Best Western 38500 Voiron,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-03-27,2023-07-16T06:42:47.591000+00:00,spbr1,5.5698368,45.3500388,,False,False,38563,PaysVoironnais,,,irve,Array
SPBR1,"45.349774,5.598293",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Coublevie, Impasse Des Genets",Voirie,Impasse Des Genets 38500 Coublevie,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.598293,45.349774,,False,False,38133,PaysVoironnais,,,irve,Array
SPBR1,"45.2955083,5.4828056",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Tullins, Parking Place Jean Jaures",Voirie,Parking Place Jean Jaures 38210 Tullins,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.4828056,45.2955083,,False,False,38517,PaysVoironnais,,,irve,Array
SPBR1,"45.350166,5.503642",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Rives, Place De La Liberation",Voirie,Place De La Liberation 38140 Rives,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.503642,45.350166,,False,False,38337,PaysVoironnais,,,irve,Array
SPBR1,"45.2958,5.63757",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Voreppe, Av Honoré De Balzac",Voirie,Av Honore De Balzac 38340 Voreppe,Array,2,Accès libre,False,24/7,False,,,2020-06-26,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.63757,45.2958,,False,False,38565,PaysVoironnais,,,irve,Array
SPBR1,"45.366279,5.587042",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Voiron, Rue Claude Guillermoz",Voirie,Rue Claude Guillermoz 38500 Voiron,Array,2,Accès libre,False,24/7,False,,,2022-02-03,Autre paiements : compte prépayé.,2023-04-02,2023-07-16T06:42:47.591000+00:00,spbr1,5.587042,45.366279,,False,False,38563,PaysVoironnais,,,irve,Array
SPBR1,"45.455873,5.636785",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Saint-Geoire-En-Valdaine, Place André Chaize",Voirie,Place André Chaize 38620 Saint-Geoire-En-Valdaine,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-03-14,2023-07-16T06:42:47.591000+00:00,spbr1,5.636785,45.455873,,False,False,38386,PaysVoironnais,,,irve,Array
SPBR1,"45.328211,5.564157",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Moirans, Rue Mozart",Voirie,Rue Mozart 38430 Moirans,Array,2,Accès libre,False,24/7,False,,,2020-06-21,Autre paiements : compte prépayé.,2023-04-03,2023-07-16T06:42:47.591000+00:00,spbr1,5.564157,45.328211,,False,False,38239,PaysVoironnais,,,irve,Array
SPBR1,"45.3633,5.59367",,,SPBR1,contact@reseau-eborn.fr,33423100350,eborn,,"Voiron, Avenue Francois Mitterand",Voirie,Avenue Francois Mitterand 38500 Voiron,Array,2,Accès libre,False,24/7,False,,,2020-07-20,Autre paiements : compte prépayé.,2023-04-05,2023-07-16T06:42:47.591000+00:00,spbr1,5.59367,45.3633,,False,False,38563,PaysVoironnais,,,irve,Array
