mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre
46,"45.1865894781128,5.72616761182579",1,"nouveau modèle",20010101000000
47,"45.1873270966455,5.72778228524969",2,"nouveau modèle",20060101000000
48,"45.1875477425917,5.72837930646545",3,"nouveau modèle",19990101000000
49,"45.1870128765722,5.72856041280374",5,"nouveau modèle",20040101000000
50,"45.1876032980993,5.72890982744115",5,"ancien modèle",19930101000000
51,"45.1877025435761,5.72929516008192",2,"nouveau modèle",20030101000000
52,"45.1860227163318,5.72975723191191",4,"nouveau modèle",19990101000000
53,"45.1858939830464,5.7289246745122",5,"nouveau modèle",20140917000000
54,"45.1871198974789,5.73059952274487",2,"nouveau modèle",20000101000000
55,"45.188890970089,5.73100066417964",9,"nouveau modèle",20080101000000
56,"45.1892951833146,5.73153415852877",6,"nouveau modèle",20000101000000
57,"45.1895843630927,5.73147469290265",4,"nouveau modèle",19990101000000
58,"45.1894946132978,5.732639387814",4,"nouveau modèle",20010101000000
59,"45.1885407680164,5.73296522985359",9,"nouveau modèle",19990101000000
60,"45.1886339195629,5.73456659701571",2,"nouveau modèle",20030101000000
61,"45.1881278253056,5.73525111063354",3,"nouveau modèle",20030101000000
62,"45.1896051614382,5.73407335034186",3,"nouveau modèle",20040101000000
63,"45.1895694936331,5.73392551118185",1,"nouveau modèle",20020101000000
64,"45.1894889820235,5.73416354875485",1,"nouveau modèle",20040101000000
65,"45.1900427611128,5.73375147802321",3,"nouveau modèle",20020101000000
66,"45.1904303211526,5.73484029322586",3,"nouveau modèle",19900101000000
67,"45.1894782168931,5.73719592969868",5,"nouveau modèle",20030101000000
68,"45.1899656043768,5.73667510975755",4,"nouveau modèle",19930101000000
69,"45.1898015834521,5.73143830562675",4,"nouveau modèle",19990101000000
70,"45.1901141943356,5.73127521596605",6,"nouveau modèle",20030101000000
71,"45.1909750658535,5.73275908525453",5,"nouveau modèle",20040101000000
72,"45.1909339163294,5.73272249505379",3,"nouveau modèle",20060101000000
73,"45.1908436482206,5.73240889389506",3,"nouveau modèle",20060101000000
74,"45.1914023248113,5.73165959412069",2,"nouveau modèle",20000101000000
75,"45.1913915201814,5.73156263363951",3,"nouveau modèle",20000101000000
76,"45.1921114137331,5.73398484640956",4,"nouveau modèle",20040101000000
77,"45.1935769772255,5.73378817732623",3,"nouveau modèle",20100101000000
78,"45.1929442385251,5.73298095929912",2,"nouveau modèle",20030101000000
79,"45.1932743803987,5.73193398101705",7,"nouveau modèle",20120101000000
80,"45.1928321242568,5.73134497816884",9,"nouveau modèle",19990101000000
81,"45.1924659674602,5.73143088628541",5,"nouveau modèle",20000101000000
82,"45.1920990317435,5.73123041546446",5,"nouveau modèle",20100101000000
83,"45.1920082758841,5.73188421462149",5,"nouveau modèle",20060101000000
84,"45.1915776866613,5.7306496519585",8,"nouveau modèle",20110101000000
85,"45.191679887555,5.73066860165514",2,"nouveau modèle",19990101000000
86,"45.1926020385212,5.72989196946663",4,"nouveau modèle",20040101000000
87,"45.190648022067,5.72913669874112",5,"nouveau modèle",20040101000000
88,"45.1908014134115,5.72921054323472",3,"nouveau modèle",20040101000000
89,"45.1915052400149,5.72950629466093",2,"nouveau modèle",20040101000000
90,"45.1915745854654,5.72954320312043",2,"nouveau modèle",20040101000000
135,"45.1872322608772,5.7225250674379",5,"nouveau modèle",20000101000000
136,"45.187997731454,5.72172783708337",3,"nouveau modèle",20010101000000
137,"45.1850140878529,5.72327773722473",5,"nouveau modèle",19980101000000
138,"45.1850964497892,5.72332195105928",12,"nouveau modèle",20120101000000
139,"45.1906575952167,5.72349715733549",12,"nouveau modèle",20100101000000
140,"45.1905284698578,5.72276468495637",2,"nouveau modèle",20020101000000
141,"45.1904551715939,5.72281764702937",2,"nouveau modèle",20020101000000
142,"45.1913320070602,5.72266317697799",2,"nouveau modèle",19990101000000
143,"45.1910165301464,5.72120376979187",3,"nouveau modèle",19950101000000
144,"45.1909889077239,5.72146492219063",3,"nouveau modèle",19980101000000
145,"45.1907755303863,5.72146325985685",2,"nouveau modèle",19900101000000
146,"45.1900811339501,5.72184235333434",2,"ancien modèle",19930101000000
147,"45.1895376485819,5.72221030504259",4,"ancien modèle",19930101000000
148,"45.188995080459,5.72235136838084",2,"nouveau modèle",20020101000000
149,"45.1889489483328,5.72364784588969",2,"nouveau modèle",20010101000000
150,"45.1886778061044,5.72398713646505",4,"nouveau modèle",19900101000000
151,"45.1884534824935,5.72292795205446",3,"ancien modèle",20020101000000
152,"45.1884254348409,5.72295174218452",2,"nouveau modèle",20020101000000
153,"45.1891070529731,5.72164510879277",5,"nouveau modèle",20020101000000
154,"45.1892731033891,5.72141063198389",5,"nouveau modèle",20020101000000
155,"45.1900878041258,5.71987079873058",3,"nouveau modèle",19900101000000
156,"45.1883760196622,5.71935161639598",3,"nouveau modèle",19900101000000
157,"45.1878970068347,5.72034568495757",3,"nouveau modèle",20010101000000
158,"45.1880113337675,5.72037597070841",3,"nouveau modèle",20010101000000
159,"45.1872124249327,5.71894771269041",4,"nouveau modèle",20020101000000
160,"45.1866018496651,5.72074239703361",3,"nouveau modèle",19900101000000
161,"45.1853941502675,5.72226626901311",2,"nouveau modèle",20020101000000
162,"45.1855326792945,5.72032475408506",1,"nouveau modèle",20010101000000
163,"45.1844787617035,5.72086335305415",3,"nouveau modèle",20020101000000
164,"45.1846620114124,5.72151543383976",2,"nouveau modèle",20020101000000
165,"45.1850327191986,5.72196600505169",4,"nouveau modèle",19980101000000
166,"45.1830098924967,5.71811418029413",2,"nouveau modèle",20020101000000
167,"45.1830421106202,5.71832333717555",2,"nouveau modèle",20020101000000
168,"45.1830054667093,5.71905952369851",2,"nouveau modèle",19900101000000
169,"45.183142998068,5.7182572605044",2,"nouveau modèle",20020101000000
170,"45.1843961282586,5.7181202161204",2,"nouveau modèle",20140821000000
171,"45.1839837226044,5.7190070980223",2,"nouveau modèle",20020101000000
172,"45.1840934805866,5.71789327406542",3,"nouveau modèle",20140821000000
173,"45.185444806191,5.71834569076385",3,"nouveau modèle",19900101000000
174,"45.1860562600846,5.71853055411223",3,"nouveau modèle",19900101000000
175,"45.1863645928092,5.71866138445559",2,"nouveau modèle",19900101000000
176,"45.1863330776684,5.71921953550728",4,"nouveau modèle",20020101000000
177,"45.1849756809242,5.71957232482663",2,"nouveau modèle",20080101000000
178,"45.1847294698831,5.71935680170924",3,"nouveau modèle",20020101000000
179,"45.1840943758162,5.72043012777463",3,"nouveau modèle",20010101000000
180,"45.1838813475087,5.72039993627833",5,"nouveau modèle",20010101000000
181,"45.1821302711541,5.72090472627982",2,"nouveau modèle",20020101000000
182,"45.1826242167215,5.72158403995453",5,"nouveau modèle",20020101000000
183,"45.1815546249189,5.72184744513315",4,"nouveau modèle",20020101000000
184,"45.1813418461,5.71767917399747",2,"nouveau modèle",20040101000000
185,"45.1814673821058,5.71704502795693",4,"nouveau modèle",20040101000000
186,"45.194522122643,5.73284951885442",3,"ancien modèle",19930101000000
187,"45.1943313229072,5.73439786186104",8,"nouveau modèle",20040101000000
188,"45.1937893925544,5.73256037648653",3,"ancien modèle",19930101000000
189,"45.1939801009486,5.73178927388462",4,"nouveau modèle",20120101000000
190,"45.1941403457341,5.72993092632935",3,"nouveau modèle",19900101000000
191,"45.1936695550974,5.72983792384982",2,"nouveau modèle",19900101000000
192,"45.1930739062173,5.72907782972853",9,"nouveau modèle",20120101000000
193,"45.193067677898,5.72765966603689",7,"nouveau modèle",20050101000000
194,"45.1929619152628,5.72615531205998",7,"nouveau modèle",20090101000000
195,"45.1915152763385,5.72535894926541",5,"nouveau modèle",19930101000000
196,"45.1921809761032,5.72308622114118",4,"nouveau modèle",20050101000000
197,"45.1921948619074,5.72319076195457",3,"nouveau modèle",20050101000000
198,"45.1924658916719,5.72263205164803",3,"nouveau modèle",20030101000000
199,"45.1920092927514,5.72205201639158",2,"nouveau modèle",20010101000000
200,"45.1914822508411,5.72255846405493",4,"nouveau modèle",20000101000000
201,"45.1920523426292,5.72109747054377",3,"nouveau modèle",19900101000000
202,"45.1917120912062,5.72074889840407",3,"ancien modèle",19930101000000
203,"45.1912899389104,5.72027386978233",2,"nouveau modèle",20040101000000
204,"45.1880377016788,5.72780495639566",2,"nouveau modèle",20060101000000
205,"45.1920023157961,5.71987112857974",2,"nouveau modèle",19970101000000
206,"45.1918026953911,5.72010126834552",2,"arceaux moto",20010101000000
207,"45.1911628314761,5.7198381247995",4,"nouveau modèle",19900101000000
208,"45.1911772497342,5.71996750005228",4,"nouveau modèle",19900101000000
209,"45.1910143504692,5.71966634776947",3,"nouveau modèle",20010101000000
210,"45.1906073058148,5.71969343045113",2,"nouveau modèle",19900101000000
211,"45.1896614834684,5.71938879921693",3,"nouveau modèle",19900101000000
212,"45.1896799304749,5.71880706174383",4,"nouveau modèle",20020101000000
213,"45.1895705812646,5.7188321363742",3,"nouveau modèle",20020101000000
214,"45.1897283503361,5.71785414056225",3,"nouveau modèle",20020101000000
215,"45.1898149476198,5.71768184622404",3,"nouveau modèle",20020101000000
216,"45.1900542051714,5.71652703362463",3,"nouveau modèle",20020101000000
217,"45.1899298765359,5.71649252875241",3,"nouveau modèle",20020101000000
218,"45.1899538518274,5.71621496585368",3,"nouveau modèle",19900101000000
219,"45.190647554766,5.71742352248745",5,"nouveau modèle",19990101000000
220,"45.1907034120153,5.7184884062055",2,"nouveau modèle",19900101000000
221,"45.1908881791458,5.71877553974871",3,"nouveau modèle",20000101000000
222,"45.1918049501864,5.71855164656729",3,"nouveau modèle",20020101000000
91,"45.1916512281288,5.72956023662021",2,"nouveau modèle",20040101000000
92,"45.1926334634379,5.72902961104851",6,"nouveau modèle",19990101000000
93,"45.1923229774982,5.72728681599247",6,"nouveau modèle",20090101000000
94,"45.1912102658504,5.72771741428345",13,"nouveau modèle",20030101000000
95,"45.1904924026852,5.72933109193009",2,"nouveau modèle",20020101000000
96,"45.1904782013968,5.72961854046326",5,"ancien modèle",19930101000000
97,"45.1903686413896,5.72788043643514",4,"ancien modèle",19930101000000
98,"45.190350934697,5.72690015377909",3,"nouveau modèle",19990101000000
99,"45.19030220736,5.72677077320866",4,"nouveau modèle",19990101000000
100,"45.1903240556132,5.72586122506037",6,"nouveau modèle",19990101000000
101,"45.1903743013131,5.72648377498407",5,"nouveau modèle",19990101000000
102,"45.1887844761555,5.72717316191618",6,"nouveau modèle",20030101000000
103,"45.1886735391566,5.72865865656647",2,"nouveau modèle",20060101000000
104,"45.1886163250512,5.72853970354691",3,"nouveau modèle",20060101000000
105,"45.1883319245997,5.72778606376509",3,"nouveau modèle",20060101000000
106,"45.1883361926328,5.72874673656195",5,"nouveau modèle",20060101000000
107,"45.1913875269311,5.72298190254464",3,"nouveau modèle",20000101000000
