nom_comm,code_insee,nom_carr,nom_axe,date,type_compt,remarque,id,num_poste,id_metro,num_ope,fid,geo_point_2d
VARCES-ALLIERES-ET-RISSET,38524,"D1075/Industrie/Sortie Commerces/Gentianes",,20160906,DIRECTIONNEL,,1,,42,,1,"45.097295980470854, 5.683740593232932"
GIÈRES,38179,"Avenue Henri Duhamel / Rue du Repos","Avenue Henri Duhamel",20181001,DIRECTIONNEL,Aucune.,"OPE 162-C1",C1,363,"OPE 162",2,"45.17900072001902, 5.789364320000001"
GIÈRES,38179,"Avenue Henri Duhamel / Rue du Repos","Avenue Henri Duhamel",20181001,DIRECTIONNEL,Aucune.,"OPE 162-C1",C1,364,"OPE 162",3,"45.17900072001902, 5.789364320000001"
ECHIROLLES,38151,"Comboire / Parking / Drac",,20140412,DIRECTIONNEL,,142,,59,,4,"45.148080735031954, 5.693515502473645"
GRENOBLE,38185,"Comboire / Moucherolle / Charles",,20140412,DIRECTIONNEL,,143,63,60,,5,"45.150320446843345, 5.695306929339442"
GRENOBLE,38185,"Rue Malakoff / Rue Joseph Chanrion","Rue Malakoff",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C4",C4,494,"OPE 338",6,"8.280972213623983, -9.899271864277631"
GRENOBLE,38185,"Rue Jules Flandrin / Rue du 19 Mars 1962",D1087,20151210,DIRECTIONNEL,,144,1511,61,,7,"45.18811000001901, 5.746104"
GRENOBLE,38185,"Rue Jules Flandrin / Av. de Valmy",D112,20151210,DIRECTIONNEL,,24,1512,62,,8,"45.186700000019, 5.743913"
GRENOBLE,38185,"Bd. Maréchal Foch / Bd. Gambetta",D1090,20151201,DIRECTIONNEL,,91,1513,63,,9,"45.18203500001901, 5.727496"
GRENOBLE,38185,"Bd. Joseph Vallier / Cours Jean Jaurès",D1090/D1075,20151201,DIRECTIONNEL,,145,1514,64,,10,"45.180350000019004, 5.716482000000002"
GRENOBLE,38185,"Rue Durand Savoyat / Rue des Martyrs",D531,20151210,DIRECTIONNEL,,146,1516,65,,11,"45.19849300001895, 5.709099"
SAINT-MARTIN-D'HERES,38421,"Avenue du Doyen Louis Weil / Avenue Gabriel Péri",D1087,20181204,DIRECTIONNEL,,147,,66,,12,"45.18651900001898, 5.757853999999998"
MEYLAN,38229,"Aiguinards / Verdun",,20121002,DIRECTIONNEL,,148,4,67,,13,"45.20551803325791, 5.764570215041702"
MEYLAN,38229,"Revirée / Verdun / Vercors",,20121002,DIRECTIONNEL,,149,5,68,,14,"45.207554693482976, 5.768220925851546"
