id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,e_7h_8h,e_8h_9h,e_9h_10h,e_10h_11h,e_11h_12h,e_12h_13h,e_13h_14h,e_14h_15h,e_15h_16h,e_16h_17h,e_17h_18h,e_18h_19h,e_tot_am,e_tot_pm,e_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,num_poste,num_ope,fid,geo_point_2d
165,Saint-Martin-d'Hères,3841,"Rue Jules Flandrin","Rue Jules Flandrin",20211116,20211116,0,3,1,0,2,0,3,1,3,2,2,2,6,13,19,1.2,2,3,"08h00 - 09h00",0,"07h00 - 08h00","OPE 330-P01","OPE 330",1,"45.18794600001899, 5.747971999999998"
166,Echirolles,38151,"Av. Albert Reynier","Av. Albert Reynier",20210914,20210914,9,10,2,1,2,7,8,8,6,12,12,9,24,62,86,5,9,12,"16h00 - 17h00",1,"10h00 - 11h00","OPE 317-P24","OPE 317",2,"45.166979000019055, 5.705762999999999"
167,Echirolles,38151,"Rue Lucien Andrieux","Rue Lucien Andrieux",20210914,20210914,8,3,6,4,6,5,7,10,10,8,9,13,27,62,89,5,9,13,"18h00 - 19h00",3,"08h00 - 09h00","OPE 317-P23","OPE 317",3,"45.161441000019074, 5.720652999999998"
168,Echirolles,38151,"Av. des Etats Généraux","Av. des Etats Généraux",20210914,20210914,8,8,7,6,6,14,7,11,14,14,20,12,35,92,127,7,13,20,"17h00 - 18h00",6,"10h00 - 11h00","OPE 317-P22","OPE 317",4,"45.153210000019115, 5.718233000000001"
169,Echirolles,38151,"Av. des FTPF","Av. des FTPF",20210914,20210914,11,7,3,1,6,11,7,5,10,10,10,5,28,58,86,6,8,11,"07h00 - 08h00",1,"10h00 - 11h00","OPE 317-P21","OPE 317",5,"45.15088700001912, 5.724996999999999"
170,Echirolles,38151,"Av. d'Innsbruck","Av. d'Innsbruck",20210914,20210914,1,9,1,4,6,0,1,2,3,9,14,6,21,35,56,4,5,14,"17h00 - 18h00",0,"12h00 - 13h00","OPE 317-P20","OPE 317",6,"45.15707300001909, 5.733829999999999"
171,Echirolles,38151,"P. Piétons Grand'Place","P. Piétons Grand'Place",20210914,20210914,0,2,0,0,1,0,1,1,0,7,4,3,3,16,19,1,2,7,"16h00 - 17h00",0,"07h00 - 08h00","OPE 317-P19","OPE 317",7,"45.15917900001909, 5.731591000000001"
172,Echirolles,38151,"P. Piétons Grand'Place","P. Piétons Grand'Place",20210914,20210914,0,2,3,1,3,1,4,4,4,6,13,11,9,43,52,2,6,13,"17h00 - 18h00",0,"07h00 - 08h00","OPE 317-P18","OPE 317",8,"45.15900700001909, 5.731483999999999"
173,Echirolles,38151,"Av. de Grugliasco","Av. de Grugliasco",20210914,20210914,0,5,6,5,4,3,9,11,12,14,22,10,20,81,101,4,12,22,"17h00 - 18h00",0,"07h00 - 08h00","OPE 317-P17","OPE 317",9,"45.14892300001911, 5.721430999999999"
174,Echirolles,38151,"Allée de la Prà","Allée de la Prà",20210914,20210914,0,1,0,1,0,0,0,0,0,1,6,5,2,12,14,0,2,6,"17h00 - 18h00",0,"07h00 - 08h00","OPE 317-P16","OPE 317",10,"45.160028000019075, 5.751106999999999"
175,Echirolles,38151,Passerelle,Passerelle,20210914,20210914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"07h00 - 08h00",0,"07h00 - 08h00","OPE 317-P15","OPE 317",11,"45.15889000001909, 5.732919"
176,Echirolles,38151,"Av. Marie Reynoard","Av. Marie Reynoard",20210914,20210914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"07h00 - 08h00",0,"07h00 - 08h00","OPE 317-P14","OPE 317",12,"45.15776900001909, 5.728857"
177,Echirolles,38151,"Av. Salvador Allende","Av. Salvador Allende",20210914,20210914,4,3,0,1,0,1,0,2,3,5,3,0,8,14,22,2,2,5,"16h00 - 17h00",0,"09h00 - 10h00","OPE 317-P11","OPE 317",13,"45.15746000001909, 5.726829999999999"
178,Echirolles,38151,"Av. Jean Jaurès","Av. Jean Jaurès",20210914,20210914,6,7,1,2,0,6,2,6,1,6,6,5,16,32,48,3,5,7,"08h00 - 09h00",0,"11h00 - 12h00","OPE 317-P10","OPE 317",14,"45.15690100001911, 5.7467060000000005"
179,Echirolles,38151,"Av. Jean Jaurès","Av. Jean Jaurès",20210914,20210914,10,16,11,8,6,10,11,8,5,10,23,20,51,87,138,10,12,23,"17h00 - 18h00",5,"15h00 - 16h00","OPE 317-P09","OPE 317",15,"45.162895000019084, 5.743706999999998"
180,Echirolles,38151,"Av. des Etats Généraux","Av. des Etats Généraux",20210914,20210914,9,11,2,1,8,5,10,8,6,10,7,18,31,64,95,6,9,18,"18h00 - 19h00",1,"10h00 - 11h00","OPE 317-P08","OPE 317",16,"45.1555860000191, 5.718929"
181,Echirolles,38151,"Rue de Lorraine","Rue de Lorraine",20210914,20210914,1,0,0,0,0,1,3,0,0,4,1,3,1,12,13,0,2,4,"16h00 - 17h00",0,"08h00 - 09h00","OPE 317-P07","OPE 317",17,"45.153304000019126, 5.726449000000001"
182,Echirolles,38151,"Rue Raymond Chanas","Rue Raymond Chanas",20210914,20210914,3,12,3,1,3,7,4,3,0,5,9,7,22,35,57,4,5,12,"08h00 - 09h00",0,"15h00 - 16h00","OPE 317-P06","OPE 317",18,"45.1563730000191, 5.739012999999997"
183,Echirolles,38151,"Av. de l'Europe","Av. de l'Europe",20210914,20210914,6,6,4,7,1,5,8,2,4,7,8,8,24,42,66,5,6,8,"13h00 - 14h00",1,"11h00 - 12h00","OPE 317-P05","OPE 317",19,"45.15940500001909, 5.73759"
184,Echirolles,38151,"Av. Marie Reynoard","Av. Marie Reynoard",20210914,20210914,4,24,7,6,9,10,12,9,20,6,25,19,50,101,151,10,14,25,"17h00 - 18h00",4,"07h00 - 08h00","OPE 317-P04","OPE 317",20,"45.16314800001908, 5.728815000000001"
