id,nom_post,nom_comm,code_insee,modes,date_instal,localisation,type_compteur,type_axe,tmj_2019,tmj_2020,tmj_2021,tmj_2022,tmjo_2019,tmjo_2020,tmjo_2021,tmjo_2022,tmjwe_2019,tmjwe_2020,tmjwe_2021,tmjwe_2022,jour_de_pointe_2022,jour_de_pointe_2021,jour_de_pointe_2020,jour_de_pointe_2019,date_pointe_2022,date_pointe_2021,date_pointe_2020,territoire,date_pointe_2019,fid,geo_point_2d
7,"(St Egrève) Pont barrage",Saint-Égrève,38382,"Piétons / vélos",20180901,"Pont Barrage",Pyrobox,"voie verte",469,646,608,632,465,689,625,660,448,698,599,579,1393,3189,10193,1468,20220619,20210618,20200617,"Grenoble Alpes Metropole",20190417,1,"45.23533645505988, 5.655959985560492"
1,"(Gières) Gare",Gières,38179,"Piétons / vélos",20180901,"Gare de Gière",Pyrobox,"piste cyclable",652,498,589,727,888,613,748,946,329,294,365,406,1413,1461,1711,1643,20221011,20211112,20200303,"Grenoble Alpes Metropole",20190313,2,"45.18388872308442, 5.780030290217618"
6,"(Meylan) Passerelle des Taillées",Gières,38179,"Piétons / vélos",20180801,"Passerelle des Taillées",Poteau_infrarouge,passerelle,1110,1146,1371,1527,1317,1300,1491,1798,822,968,1234,1144,4009,2225,3019,2021,20220426,20210527,20200621,"Grenoble Alpes Metropole",20191214,3,"45.19603700001898, 5.754223"
10,"(Gieres) Passerelle Ile d'Amour",Gières,38179,"Piétons / vélos",20180901,"Passerelle de l'Ile d'Amour",Pyrobox,passerelle,2267,1936,2189,2367,2581,2003,2322,2711,1703,1803,2043,1908,4223,4985,4779,5278,20221018,20210425,20200524,"Grenoble Alpes Metropole",20190501,4,"45.198966330525096, 5.769218551580001"
5,"(Grenoble) Rue de Bonne",Grenoble,38185,"Piétons / vélos",20180901,"Rue de Bonne",Poteau_infrarouge,"rue piétonne",8885,8201,9448,9807,9122,8231,9764,10331,8146,7449,8884,9331,17953,19241,17804,22947,20221217,20211211,20200111,"Grenoble Alpes Metropole",20191221,5,"45.19013401253099, 5.727430967132344"
8,"(Grenoble) Rue Lafayette",Grenoble,38185,"Piétons / vélos",20180901,"Rue Lafayette",Poteau_infrarouge,"rue piétonne",10355,9509,7873,6331,10507,10036,8361,6729,10282,9741,7494,6609,14510,16282,32522,19397,20221217,20210522,20200615,"Grenoble Alpes Metropole",20191130,6,"45.19086102546297, 5.729223226333564"
9,"(Grenoble) Rue de la Poste",Grenoble,38185,"Piétons / vélos",20180901,"Rue de la Poste",Poteau_infrarouge,"rue piétonne",5325,3798,4392,4427,5546,3954,4623,4704,4838,3279,3893,4007,13007,10419,8760,12042,20220918,20211009,20200111,"Grenoble Alpes Metropole",20191221,7,"45.18884200001901, 5.727771999999999"
21,"(Grenoble) Passerelle Saint Laurent",Grenoble,38185,"Piétons / vélos",20191219,"Passerelle du Saint-Laurent",Pyrobox,passerelle,11988,7392,4460,5203,3753,7226,4148,4735,10769,7555,5052,6579,11724,11014,32504,25997,20221016,20211017,20200228,"Grenoble Alpes Metropole",20191223,8,"45.19428578425923, 5.729205728687503"
3,"(Eybens) Passerelle d'Eybens",Eybens,38158,"Piétons / vélos",20180901,"Passerelle d'Eybens",Pyrobox,passerelle,401,393,430,541,522,474,526,690,192,258,264,301,1215,839,1093,1041,20221020,20210930,20200510,"Grenoble Alpes Metropole",20190910,9,"45.15305223210389, 5.741733747976732"
4,"(Echirolles) Passerelle d'Echirolles",Échirolles,38151,"Piétons / vélos",20180901,"Passerelle d'Echirolles",Pyrobox,passerelle,487,456,581,585,621,548,729,725,290,327,404,387,1183,6007,1050,1088,20220517,20211210,20200915,"Grenoble Alpes Metropole",20190705,10,"45.15170016886506, 5.721760408138022"
2,"(Grenoble) Grande Rue",Grenoble,38185,"Piétons / vélos",20180901,"Grande Rue",Poteau_infrarouge,"rue piétonne",12965,6756,10436,11442,12293,7583,10355,11332,13992,6727,11401,12429,30467,37641,24396,25052,20220924,20210918,20200606,"Grenoble Alpes Metropole",20191221,11,"45.192037000018985, 5.728592000000001"
