id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,p_7h_8h,p_8h_9h,p_9h_10h,p_10h_11h,p_11h_12h,p_12h_13h,p_13h_14h,p_14h_15h,p_15h_16h,p_16h_17h,p_17h_18h,p_18h_19h,p_tot_am,p_tot_pm,p_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,orien_etiq,orien,num_poste,num_ope,fid,geo_point_2d
135,Vif,38545,"Boulevard Faidherbe","Boulevard Faidherbe",20200702,20200702,0,15,12,0,0,0,0,0,0,0,0,0,27,0,27,5,0,15,"08h00 - 09h00",12,"09h00 - 10h00",,,P01A,"OPE 215",1,"45.056071000019365, 5.667688"
136,Vif,38545,"Boulevard Faidherbe","Boulevard Faidherbe",20200702,20200702,0,22,30,0,0,0,0,0,0,0,0,0,52,0,52,10,0,30,"09h00 - 10h00",22,"08h00 - 09h00",,,P01B,"OPE 215",2,"45.05612500001938, 5.667701"
137,Vif,38545,"Avenue de Rivalta Di Torino","Avenue de Rivalta Di Torino",20200702,20200702,0,6,8,0,0,0,0,0,0,0,0,0,14,0,14,3,0,8,"09h00 - 10h00",6,"08h00 - 09h00",,,P02A,"OPE 215",3,"45.05479800001937, 5.672677999999999"
138,Vif,38545,"Avenue de Rivalta Di Torino","Avenue de Rivalta Di Torino",20200702,20200702,0,8,13,0,0,0,0,0,0,0,0,0,21,0,21,4,0,13,"09h00 - 10h00",8,"08h00 - 09h00",,,P02B,"OPE 215",4,"45.05485700001938, 5.672723000000001"
128,Echirolles,38151,"Avenue Marie Reynoard","Avenue Marie Reynoard",20200125,20200131,,,,,,,,,,,,,,,,,,,,,,,,2,193,5,"45.15757808604469, 5.7288195545059715"
139,Vif,38545,"Avenue de Rivalta Di Torino","Avenue de Rivalta Di Torino",20200702,20200702,0,4,3,0,0,0,0,0,0,0,0,0,7,0,7,2,0,4,"08h00 - 09h00",3,"09h00 - 10h00",,,P03A,"OPE 215",6,"45.05360100001938, 5.675234"
1,Grenoble,38185,"Pont de la Porte de France","Pont de la Porte de France",20190926,20190926,113,200,162,171,176,281,217,200,250,270,425,488,822,2131,2953,164,304,488,"18h00 - 19h00",113,"07h00 - 08h00",,,1010,160,7,"45.19282097521698, 5.72008479089381"
2,Grenoble,38185,"Pont Marius Gontard","Pont Marius Gontard",20190926,20190926,68,55,63,69,69,100,89,86,136,106,154,131,324,802,1126,65,115,154,"17h00 - 18h00",55,"08h00 - 09h00",,,1011,160,8,"45.19313347021066, 5.724042234902412"
3,Grenoble,38185,"Ter Quai Stéphane Jay","Ter Quai Stéphane Jay",20190926,20190926,55,67,60,86,63,109,83,70,117,76,121,171,331,747,1078,66,107,171,"18h00 - 19h00",55,"07h00 - 08h00",,,1009,160,9,"45.193185403629265, 5.7264654586153645"
4,Grenoble,38185,"Quai Perrière","Quai Perrière",20190926,20190926,58,98,64,59,132,137,142,138,147,179,255,326,411,1324,1735,82,189,326,"18h00 - 19h00",58,"07h00 - 08h00",,,1008,160,10,"45.19435749224016, 5.727565726482753"
