id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,v_7h_8h,v_8h_9h,v_9h_10h,v_10h_11h,v_11h_12h,v_12h_13h,v_13h_14h,v_14h_15h,v_15h_16h,v_16h_17h,v_17h_18h,v_18h_19h,v_tot_am,v_tot_pm,v_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,nb_ac_casq,nb_ss_casq,pc_ac_casq,nb_vae,pc_vae,nb_vmetro,pc_vmetro,nb_vclass,pc_vclass,orien,num_ope,num_poste,fid,geo_point_2d
4,Grenoble,38185.0,Quai Perrière,Quai Perrière,20190926,20190926,194.0,365,135,61.0,52.0,94.0,151.0,104.0,103.0,163.0,324.0,328.0,807,1267.0,2074.0,161,181.0,365.0,08h00 - 09h00,52.0,11h00 - 12h00,972.0,1166.0,45.0,186.0,9.0,199.0,10.0,1641.0,81.0,,160,1008,1,"45.19435749224016, 5.727565726482753"
5,Grenoble,38185.0,Pont Saint-Laurent,Pont Saint-Laurent,20190926,20190926,42.0,72,41,35.0,38.0,44.0,65.0,47.0,59.0,63.0,118.0,139.0,228,535.0,763.0,46,76.0,139.0,18h00 - 19h00,35.0,10h00 - 11h00,219.0,585.0,27.0,56.0,8.0,128.0,18.0,526.0,74.0,,160,1012,2,"45.194429759969616, 5.729132502395406"
6,Grenoble,38185.0,Pont de la Citadelle,Pont de la Citadelle,20190926,20190926,14.0,28,11,7.0,6.0,9.0,7.0,8.0,11.0,22.0,34.0,26.0,66,117.0,183.0,13,17.0,34.0,17h00 - 18h00,6.0,11h00 - 12h00,53.0,148.0,26.0,7.0,4.0,18.0,10.0,158.0,86.0,,160,1013,3,"45.19510981335163, 5.730335741022865"
7,Grenoble,38185.0,Grande Rue,Grande Rue,20190926,20190926,33.0,52,37,43.0,72.0,100.0,107.0,85.0,68.0,84.0,153.0,170.0,237,767.0,1004.0,47,110.0,170.0,18h00 - 19h00,33.0,07h00 - 08h00,164.0,920.0,15.0,34.0,3.0,168.0,17.0,802.0,80.0,,160,1001,4,"45.19180165433328, 5.72842677040568"
8,Grenoble,38185.0,Avenue Alsace Lorraine,Avenue Alsace Lorraine,20190926,20190926,66.0,101,63,51.0,61.0,105.0,77.0,79.0,68.0,83.0,136.0,155.0,342,703.0,1045.0,68,100.0,155.0,18h00 - 19h00,51.0,10h00 - 11h00,213.0,1030.0,17.0,11.0,1.0,254.0,24.0,780.0,75.0,,160,1007,5,"45.189697862123914, 5.718374854477971"
9,Grenoble,38185.0,Cours Jean Jaurès,Cours Jean Jaurès,20190926,20190926,154.0,236,136,97.0,150.0,160.0,190.0,154.0,133.0,219.0,345.0,413.0,773,1614.0,2387.0,155,231.0,413.0,18h00 - 19h00,97.0,10h00 - 11h00,459.0,2124.0,18.0,78.0,3.0,415.0,17.0,1893.0,79.0,,160,1006,6,"45.18939261294457, 5.719509947428664"
10,Grenoble,38185.0,Cours Berriat,Cours Berriat,20190926,20190926,110.0,179,92,80.0,90.0,144.0,127.0,100.0,99.0,136.0,223.0,252.0,551,1081.0,1632.0,110,154.0,252.0,18h00 - 19h00,80.0,10h00 - 11h00,369.0,1371.0,21.0,11.0,1.0,281.0,17.0,1340.0,82.0,,160,1014,7,"45.18794770778637, 5.7205051648694845"
11,Grenoble,38185.0,Cours Berriat,Cours Berriat,20190926,20190926,134.0,221,121,84.0,79.0,151.0,141.0,113.0,129.0,142.0,467.0,238.0,639,1381.0,2020.0,128,197.0,467.0,17h00 - 18h00,79.0,11h00 - 12h00,398.0,1458.0,21.0,59.0,3.0,243.0,14.0,1480.0,83.0,,160,1017,8,"45.18843065220187, 5.712155478174619"
12,Grenoble,38185.0,Boulevard Gambetta,Boulevard Gambetta,20190926,20190926,33.0,63,32,21.0,44.0,62.0,41.0,41.0,43.0,55.0,90.0,86.0,193,418.0,611.0,39,60.0,90.0,17h00 - 18h00,21.0,10h00 - 11h00,120.0,972.0,11.0,7.0,1.0,111.0,18.0,493.0,81.0,,160,1005,9,"45.18965905566134, 5.722283464274066"
13,Grenoble,38185.0,Carrefour Victor Hugo / Edouard Rey / Molière,Carrefour Victor Hugo / Edouard Rey / Molière,20190926,20190926,32.0,41,38,42.0,68.0,76.0,76.0,66.0,60.0,69.0,81.0,89.0,221,517.0,738.0,44,74.0,89.0,18h00 - 19h00,32.0,07h00 - 08h00,147.0,633.0,19.0,48.0,7.0,135.0,18.0,555.0,75.0,,160,1015,10,"45.189644627349224, 5.724743808235713"
818,vif,38545.0,rue champollion,rue champollion,20210506,20210506,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,08h00 - 09h00,0.0,08h00 - 09h00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,OPE 268,P06A,11,"45.055112000019385, 5.669334000000002"
537,Saint-Egreve,,Rue des Bonnais,NC,20181108,20181108,,5,1,,,,,,,,,,6,,,3,,,,,,,,,,,,,,,277.0,,,12,"45.23937823155645, 5.6728303345192925"
14,Grenoble,38185.0,Boulevard Agutte Sembat,Boulevard Agutte Sembat,20190926,20190926,132.0,207,115,82.0,108.0,180.0,152.0,141.0,148.0,181.0,272.0,252.0,644,1326.0,1970.0,129,189.0,272.0,17h00 - 18h00,82.0,10h00 - 11h00,505.0,1667.0,23.0,100.0,5.0,332.0,17.0,1538.0,78.0,,160,1004,13,"45.18863591925983, 5.725862991997275"
15,Grenoble,38185.0,Place de l'Etoile,Place de l'Etoile,20190926,20190926,39.0,68,50,43.0,66.0,86.0,67.0,57.0,81.0,88.0,126.0,96.0,266,601.0,867.0,53,86.0,126.0,17h00 - 18h00,39.0,07h00 - 08h00,155.0,871.0,15.0,23.0,3.0,137.0,16.0,707.0,82.0,,160,1016,14,"45.187866751032416, 5.728626069752119"
16,Grenoble,38185.0,Rue de Bonne,Rue de Bonne,20190926,20190926,14.0,30,19,32.0,20.0,33.0,28.0,41.0,35.0,28.0,47.0,70.0,115,282.0,397.0,23,40.0,70.0,18h00 - 19h00,14.0,07h00 - 08h00,48.0,401.0,11.0,5.0,1.0,84.0,21.0,308.0,78.0,,160,1003,15,"45.18967189362694, 5.726798851113477"
17,Grenoble,38185.0,Rue de la Poste,Rue de la Poste,20190926,20190926,15.0,27,14,19.0,21.0,41.0,18.0,17.0,18.0,14.0,33.0,23.0,96,164.0,260.0,19,23.0,41.0,12h00 - 13h00,14.0,09h00 - 10h00,57.0,224.0,20.0,2.0,1.0,29.0,11.0,229.0,88.0,,160,1002,16,"45.1896019076964, 5.727289557269652"
18,Grenoble,38185.0,Rue Général Mangin,Rue Général Mangin,20190926,20190926,8.0,30,20,5.0,7.0,9.0,16.0,27.0,16.0,20.0,35.0,50.0,70,173.0,243.0,14,25.0,50.0,18h00 - 19h00,5.0,10h00 - 11h00,66.0,207.0,24.0,19.0,8.0,26.0,11.0,200.0,82.0,,160,1018,17,"45.177317600060434, 5.71797508757716"
19,Grenoble,38185.0,Avenue Jean Perrot,Avenue Jean Perrot,20190926,20190926,98.0,169,82,44.0,62.0,86.0,85.0,81.0,64.0,117.0,195.0,204.0,455,832.0,1287.0,91,119.0,204.0,18h00 - 19h00,44.0,10h00 - 11h00,364.0,963.0,27.0,42.0,3.0,94.0,7.0,1151.0,89.0,,160,1019,18,"45.172334730661994, 5.739084795591048"
20,Grenoble,38185.0,Boulevard maréchal Lyautey,Boulevard maréchal Lyautey,20190926,20190926,174.0,237,154,93.0,121.0,203.0,197.0,125.0,147.0,176.0,317.0,298.0,779,1463.0,2242.0,156,209.0,317.0,17h00 - 18h00,93.0,10h00 - 11h00,589.0,1817.0,24.0,41.0,2.0,356.0,16.0,1849.0,82.0,,160,1021,19,"45.18546923981406, 5.731211633996705"
21,Grenoble,38185.0,Rue Lesdiguieres,Rue Lesdiguieres,20190926,20190926,149.0,299,157,98.0,146.0,176.0,123.0,152.0,142.0,180.0,625.0,322.0,849,1720.0,2569.0,170,246.0,625.0,17h00 - 18h00,98.0,10h00 - 11h00,574.0,1793.0,24.0,28.0,1.0,404.0,18.0,1815.0,81.0,,160,1020,20,"45.185582094487316, 5.723160355130575"
22,Grenoble,38185.0,Boulevard Agutte Sembat,Boulevard Agutte Sembat,20190926,20190926,218.0,325,169,159.0,180.0,243.0,249.0,186.0,195.0,275.0,431.0,446.0,1051,2025.0,3076.0,210,289.0,446.0,18h00 - 19h00,159.0,10h00 - 11h00,761.0,2552.0,23.0,51.0,2.0,472.0,15.0,2545.0,83.0,,160,1022,21,"45.186512405018284, 5.728224443610816"
481,GRENOBLE,38185.0,Pont de la Porte de France,NC,20181004,20181004,,344,151,,,109.0,105.0,101.0,143.0,158.0,240.0,200.0,495,1056.0,1551.0,247,151.0,344.0,08h00 - 9h00,101.0,14h00 - 15h00,,,,,,,,,,61.0,98,1010,22,"45.192821000018974, 5.720084999999998"
482,GRENOBLE,38185.0,7 Rue de la Poste,NC,20151203,20151203,,21,14,,,24.0,14.0,28.0,26.0,24.0,23.0,9.0,35,148.0,183.0,18,21.0,28.0,14h00 - 15h00,9.0,18h00 - 19h00,,,,,,,,,,42.0,,1002,23,"45.189602000018986, 5.727290000000001"
483,GRENOBLE,38185.0,12 Boulevard Gambetta,NC,20151203,20151203,,94,48,,,51.0,47.0,29.0,42.0,48.0,84.0,58.0,142,359.0,501.0,71,51.0,94.0,08h00 - 9h00,29.0,14h00 - 15h00,,,,,,,,,,60.0,,1005,24,"45.189659000018985, 5.722283000000001"
486,GRENOBLE,38185.0,Pont de la Citadelle,NC,20181004,20181004,,78,31,,,50.0,59.0,41.0,35.0,36.0,61.0,85.0,109,367.0,476.0,54,52.0,85.0,18h00 - 19h00,31.0,9h00 - 10h00,,,,,,,,,,,98,1013,25,"45.195110000018985, 5.7303359999999985"
487,GRENOBLE,38185.0,16 Grande Rue,NC,20181004,20181004,,61,47,,,70.0,68.0,53.0,70.0,82.0,84.0,106.0,108,533.0,641.0,54,76.0,106.0,18h-19h,47.0,9h00 - 10h00,,,,,,,,,,285.0,98,1001,26,"45.19180200001898, 5.728426999999999"
