id,ogc_fid,uid_filaire,x,y,boucle,emplacement,orientation,type,fiabilite,orien_etiq,commentaire,tmja_2022_mois1,tmja_2022_mois2,tmja_2022_mois3,tmja_2022_mois4,tmja_2022_mois5,tmja_2022_mois6,tmja_2022_mois7,tmja_2022_mois8,tmja_2022_mois9,tmja_2022_mois10,tmja_2022_mois11,tmja_2022_mois12,tmja_2022_moistmja_2022,fid,geo_point_2d
521,25,39793362-8412-40d5-bcbd-8ef69be36fd6,1913110,4221889,521,"Cours de la libération ",10,"double droit large","Bonne fiabilite. Utilisable pour les comptages",76,"Validation par comparaison avec comptage ponctuel",4663.879032258064,5061.901785714286,5102.137096774193,4961.016666666667,5130.193548387097,6280.555555555554,4465.709677419353,3802.4274193548385,4811.675,4594.016129032259,4625.9333333333325,4462.798387096775,4830.186969299369,1,"45.164884249841776, 5.711344053672686"
501,30,9f8ec2e9-a38f-4fbd-b862-6b9c46dbf4c2,1913232,4222478,501,"Cours de la libération ",12,"simple droit","Bonne fiabilite. Utilisable pour les comptages",260,"Validation par comparaison avec comptage ponctuel",5185.443548387097,5596.437499999999,5702.701612903226,5551.158333333334,5715.548387096775,7295.509259259259,4989.532258064516,4299.040322580645,5441.624999999999,5170.2661290322585,5255.233333333334,5008.379032258064,5434.239559687375,2,"45.17015214753706, 5.7131480264681045"
1451,50,7b5d0e3b-282b-4b58-bf29-68c72d9571ef,1915488,4222214,1451,"Avenue Jean Jaures ",340,"double droit large","Inutilisable pour les comptages",292,"Inapte au comptage",1.435483870967742,1.1964285714285714,12.596774193548386,10210.8,16079.999999999993,14111.351851851845,336.41129032258056,9.70967741935484,4.083333333333334,4.314516129032258,990.4583333333334,7.911290322580644,3480.8557482790006,3,"45.1670878958861, 5.741723847387878"
1551,42,c675a1bf-f540-42ee-9092-278b2480d2df,1914756,4221329,1551,"Avenue de l'Europe",266,"double droit large","Inutilisable pour les comptages",,"Différence avec ponctuel (-45%) / Observation terrain PC feux",14442.008064516127,14229.285714285716,13959.790322580646,13919.508333333333,13573.120967741937,14833.75925925926,13061.459677419352,12930.282258064517,13907.283333333331,13681.637096774193,14427.300000000001,14513.47580645161,13956.575902813333,4,"45.15935148078644, 5.732036936398457"
31,18,13b0ca5e-9d46-4cd2-b037-fc96f34c9422,1913131,4223582,31,"Boulevard Joseph Vallier",86,"double droit etroit","Bonne fiabilite. Utilisable pour les comptages",,"Validation par comparaison avec comptage ponctuel",9852.943548387097,10278.169642857143,11159.290322580646,11350.008333333331,11451.33870967742,14415.407407407409,10568.354838709674,9978.217741935487,12073.675000000001,11494.137096774188,11708.75,11351.919354838712,11306.850999708426,5,"45.18010688658654, 5.712335893328637"
902,21,20aafe73-f2cc-4de1-bf09-e65b8c4cdb36,1912477,4222178,902,A480,91,"double droit large","Bonne fiabilite. Utilisable pour les comptages",,"Validation par comparaison avec comptage ponctuel",4898.620967741935,4750.267857142857,4958.645161290321,4589.85,4781.677419354838,8747.888888888889,4253.814516129032,3850.120967741936,5304.258333333333,4980.548387096775,5210.574999999998,5188.975806451613,5126.27027543096,6,"45.16768021842284, 5.70341829528973"
491,31,7b028a7a-8484-42ba-9653-016e49dcce03,1913303,4222938,491,"Cours de la libération ",192,"double droit large","Bonne fiabilite. Utilisable pour les comptages",254,"Validation par comparaison avec comptage ponctuel",5680.790322580645,6286.053571428572,6218.790322580645,6117.549999999999,6099.233870967742,8518.083333333332,5314.153225806452,4741.580645161291,9372.616666666669,35995.96774193547,35995.833333333336,35992.741935483864,13861.116247439835,7,"45.17426088914538, 5.714252899026754"
901,22,5aaaaabd-3710-42e1-a412-e026f91537db,1912438,4222198,901,A480,90,"double droit large",Inconnue,,"A valider",71997.84677419353,71991.07142857142,71894.08064516127,23544.29166666666,8017.653225806453,12980.268518518518,8298.68548387097,7698.185483870968,10347.775000000001,10009.72580645161,10047.700000000003,9653.709677419356,26373.41614254423,8,"45.16786792097199, 5.702935570267243"
906,23,5c9ec433-9ce3-472f-8611-d6bc1f28184f,1912588,4222303,906,"Avenue Rhin et Danube",181,"double droit large","Inutilisable pour les comptages",,"Inapte au comptage",,,,,,,,,,,,,,9,"45.168766792167695, 5.70488236722285"
903,24,c388dc6b-4dec-4df2-aee7-5485b207eb62,1912628,4222144,903,"Rue Albert Reynier",301,"double droit large","Bonne fiabilite. Utilisable pour les comptages",323,"Validation par comparaison avec comptage ponctuel",47999.79032258067,47994.03571428573,47930.096774193575,18982.808333333334,9467.653225806449,13674.60185185185,8326.91129032258,7027.298387096774,9712.025000000001,9219.00806451613,9544.050000000001,9040.677419354837,19909.91303194516,10,"45.167324322958905, 5.705330633127202"
511,26,162ade0b-78e5-4e04-a437-0d45c25d2120,1913135,4222092,511,"Cours de la libération ",189,"double droit large","Bonne fiabilite. Utilisable pour les comptages",78,"Validation par comparaison avec comptage ponctuel",6437.475806451614,6080.991071428571,11312.161290322578,21600,21599.99999999999,14332.749999999998,4968.306451612903,4829.403225806451,5577.65,5308.9516129032245,5396.333333333334,5098.008064516128,9378.502571364565,11,"45.16670861835186, 5.711758099591758"
1541,40,daa86e22-e8ea-473a-ad16-21c7f39405f7,1914515,4221368,1541,"Avenue Marie Reynoard",355,"double droit large","Inutilisable pour les comptages",269,,55.35483870967742,1.7857142857142856,17.193548387096776,3.8833333333333337,18.266129032258064,14753.08333333333,24000.000000000015,24000.000000000015,24000,24000.000000000015,24000,24000.000000000015,13237.46390809012,12,"45.159773924053766, 5.7289868129480865"
411,128,df62a945-b937-4b3b-be0b-dcc9007a25ba,1913711,4224971,411,"Pont de la porte de France",151,"double droit large","Inutilisable pour les comptages",,"Différence avec ponctuel (-25%)",9921.774193548386,11059.76785714286,10831.024193548388,10859.858333333332,10511.443548387097,11964.305555555555,10186.193548387097,9537.983870967742,10435.333333333334,10068.98387096774,10211.258333333333,9883.927419354839,10455.987838154973,13,"45.19242587348127, 5.720305881010011"
533,27,6de0437f-73ce-4f36-90ee-0c52bb0821d5,1913009,4221208,533,"Rue Pierre de Coubertin",306,"double droit large",Inconnue,325,"A valider",9.661290322580644,10.696428571428571,2435.435483870968,21931.1,106.38709677419354,1908.4629629629628,25.241935483870968,13718.766129032254,24000,23997.84677419356,23999.441666666666,23996.76612903227,11344.983824742563,14,"45.15879746511424, 5.70977291756588"
532,28,f390f0cd-51f8-40e9-8113-204900b0489c,1912951,4221253,532,"Cours de la libération ",210,"tourne a droite double",Inconnue,63,"A valider",1303.3306451612905,1520.151785714285,2466.08064516129,10326.258333333333,1622.9516129032256,2830.990740740741,812.3709677419356,6743.41935483871,11250.408333333333,11326.056451612903,11318.63333333333,11061.709677419356,6048.530156774478,15,"45.15921584426639, 5.709051996765881"
531,29,d2a924a4-65fd-41ab-8aea-dea465b45978,1912997,4221333,531,"Cours de la libération ",11,"simple droit","Bonne fiabilite. Utilisable pour les comptages",261,"Validation par comparaison avec comptage ponctuel",2428.145161290323,5440.5714285714275,6871.42741935484,8618.591666666667,4515.564516129031,5873.861111111112,3521.927419354838,3196.943548387097,5444.941666666666,5181.677419354838,1099.2,301.2177419354838,4374.505758235194,16,"45.159921045572446, 5.709670471551636"
462,32,ceb7a5cf-09a6-4977-a24f-e844462cb9db,1913550,4224035,462,"Jaurès bis",11,"simple droit","Bonne fiabilite. Utilisable pour les comptages",80,"Validation par comparaison avec comptage ponctuel",4537.709677419355,4937.642857142858,4940.822580645161,5078.091666666666,4978.040322580646,6508.333333333334,4517.4838709677415,4023.193548387096,4863.008333333333,4660.241935483871,4756.241666666667,4529.491935483871,4860.858477342551,17,"45.184052433233596, 5.717858674193856"
1581,43,58fd367e-1538-4f4f-9d6d-3a39cb4431db,1914762,4221265,1581,"Avenue de l'Europe",87,"double droit large",Inconnue,,"A valider",3910.3145161290317,4246,4382.846774193548,4137.5666666666675,4087.209677419354,5228.055555555556,3512.040322580644,3124.9193548387098,4001.558333333333,3900.209677419354,4197.616666666668,4206.975806451613,4077.9427792712067,18,"45.158774681517656, 5.732083783167686"
32,19,aa975ce9-6788-449b-84d5-aa5c4fc72264,1913010,4223588,32,"Boulevard Joseph Vallier",268,"double droit etroit","Bonne fiabilite. Utilisable pour les comptages",,"Validation par comparaison avec comptage ponctuel",11212.854838709676,11545.249999999998,11798.467741935481,12274.966666666667,12437.887096774191,15596.777777777776,12413.56451612903,11333.33064516129,13062.733333333334,12538.73387096774,12481.666666666664,12178.927419354837,12406.263381123057,19,"45.18020158429374, 5.710804710042459"
52,4,96355b6c-ae48-4900-8884-0466599afc4b,1914088,4223738,52,Foch,250,"double droit etroit",Inconnue,24,"A valider",10145.330645161292,10353.044642857141,10574.58064516129,10388.366666666665,10567.338709677419,12544.296296296294,9531.282258064515,8366.677419354839,10970.441666666666,10556.274193548388,10794.749999999998,10248.750000000002,10420.094428621209,20,"45.181222046672865, 5.724570989436702"
61,5,aebdd74f-d0e8-4a1a-a157-6e33160de153,1914156,4223745,61,Joffre,69,"double droit etroit",Inconnue,16,"A valider",248.38709677419354,0,14.516129032258064,245,51.61290322580645,5394.444444444445,46.77419354838709,35.483870967741936,13.333333333333334,59.67741935483871,81.66666666666667,27.41935483870968,518.1929510155317,21,"45.18126285205018, 5.725435128325918"
63,6,cfefc1ec-f6d4-4f49-8e9c-53e194a3e92f,1914329,4223804,63,"Rue Nestor Cornier",333,"simple droit",Inconnue,299,"A valider",41.33064516129031,0,2.411290322580645,40.825,8.57258064516129,899.0277777777777,7.782258064516129,5.903225806451612,2.216666666666667,10.008064516129032,13.591666666666669,4.564516129032258,86.35280764635603,22,"45.18174554804054, 5.727663193086952"
44,8,c5f1a19e-6ab4-4cd0-8062-a5131a2b01e7,1913497,4223610,44,"Boulevard Marechal Foch",83,"double droit etroit",Inconnue,,"A valider",10135.064516129032,10360.919642857143,10991.209677419352,10996.399999999998,11100.379032258064,14257.388888888889,10012.016129032256,9103.84677419355,11453.708333333328,11154.467741935483,11522.8,10934.467741935483,11001.889039831882,23,"45.1802506100631, 5.71699791477574"
