geo_point_2d,type,libelle,adresse,total,commune,lignes,epci
"45.264254,5.878285",PAR,BERNIN CLOYÈRES,"Chemin des Fontaines, 38190, Bernin",22,Bernin,"C38_T81,C38_T84,C38_X01,GSV_G6,GSV_NVC,GSV_G3,MCO_GRES",LeGresivaudan
"45.135023,5.771173",PAR,BRIÉ ET ANGONNES - TAVERNOLLES,"Route de Jarrie, 38320, Brié-et-Angonnes",36,Brié-et-Angonnes,"SEM_65,SEM_67",LaMetro
"45.353332,5.597965",PAR,PLAN MENU,"Route de Grenoble, 38500, Coublevie",150,Coublevie,"C38_T41,C38_X01,TPV_4,TPV_TAD4,TPV_TADC,TPV_W",PaysVoironnais
"45.20669,5.847088",PAR,DOMENE LES ARNAUDS,"106 Chemin des Contamines, 38420, Domène",40,Domène,"SEM_15,GSV_G2",LaMetro
"45.152657,5.718526",PAR,ECHIROLLES - GARE,"Avenue des Etats Généraux, 38130, Echirolles",100,Échirolles,"SEM_A,SNC_K012,SNC_K601",LaMetro
"45.147116,5.754957",PAR,EYBENS - LE VERDERET,"Avenue des Maquis de l’Oisans, 38320, Eybens",43,Eybens,"SEM_65,SEM_67,SEM_C4",LaMetro
"45.254102,5.660793",PAR,LE FONTANIL CORNILLON - PALLUEL,"Rue des Mûriers, 38120, Fontanil-Cornillon",189,Fontanil-Cornillon,"SEM_E,C38_T40,C38_X02,TPV_SJ31,TPV_W",LaMetro
"45.187638,5.783864",PAR,GIERES - PLAINE DES SPORTS,"Rue des Glairons, 38610, Gières",160,Gières,"SEM_E,SEM_D,SEM_C,SEM_B",LaMetro
"45.343037,5.975274",PAR,GARE DE GONCELIN,"Place de la Gare, 38570, Goncelin",130,Goncelin,"C38_COR02,C38_GIE01,C38_RAV01,C38_T86,C38_COR01,SNC_CAR601,SNC_K012,GSV_G3,GSV_G4,GSV_G5,GSV_G50,GSV_G6,GSV_NVC",LeGresivaudan
"45.181035,5.70503",PAR,VALLIER-CATANE,"50 rue ampère, 38000, Grenoble",490,Grenoble,"SEM_C,SEM_83,SEM_26,C38_T75,C38_T90,C38_T91,MCO_VOIR",LaMetro
"45.199166,5.717306",PAR,GRENOBLE - ESPLANADE,"72 Route de Lyon,  38000, Grenoble",95,Grenoble,"SEM_E,SEM_56",LaMetro
"45.302478,5.907698",PAR,LUMBIN LONG PRÉ,"Chemin des Longs Prés, 38660, Lumbin",50,Lumbin,"C38_X01,GSV_305",LeGresivaudan
"45.207501,5.767896",PAR,MEYLAN - LA REVIREE,"Avenue de Verdun, 38240, Meylan",36,Meylan,"SEM_C1,C38_T80",LaMetro
"45.224076,5.820248",PAR,MONTBONNOT PRÉ DE L'EAU,"Chemin du Moulin, 38330, Montbonnot-Saint-Martin",100,Montbonnot-Saint-Martin,"SEM_C1,C38_T81,C38_T83,C38_T84,C38_T86,C38_X01,C38_X02,GSV_G2,GSV_NVA,MCO_GRES",LeGresivaudan
"45.432776,6.008159",PAR,GARE DE PONTCHARRA,"Rue Jean Pellerin, 38530, Pontcharra",110,Pontcharra,"SNC_CAR601,SNC_K021,SNC_K012,GSV_G5,GSV_G50,GSV_G51,GSV_G60,GSV_NVC",LeGresivaudan
"45.127208,5.698806",PAR,PONT-DE-CLAIX,"32 cours Saint-André, 38800, Le-Pont-de-Claix",116,Le Pont-de-Claix,SEM_C2,LaMetro
"45.137426,5.702209",PAR,PONT-DE-CLAIX L'ÉTOILE,"94 cours Saint-André, 38800, Le-Pont-de-Claix",51,Le Pont-de-Claix,"SEM_C2,SEM_25,SEM_64,SEM_A,C38_MEN04,C38_T75,C38_T90,C38_T92,C38_T95,C38_X03",LaMetro
"45.125234,5.699675",PAR,PONT-DE-CLAIX - GARE,"Avenue de la Gare, 38800, Le-Pont-de-Claix",21,Le Pont-de-Claix,"SNC_CTX63,SNC_CAR063,SNC_K063",LaMetro
"45.381028,5.477775",PAR,RIVES - BIEVRE DAUPHINE,"Brièvre, 38140, Rives",300,Rives,"C38_T51,C38_X08,MCO_VOIR",PaysVoironnais
"45.235088,5.671546",PAR,ST-EGREVE - GARE,"Rue des Bonnais, 38120, Saint-Egrève",80,Saint-Égrève,"SEM_22,SEM_54,SEM_51,SEM_63,SNC_K601",LaMetro
"45.242759,5.669222",PAR,ST-EGREVE - KARBEN,"15 route de Lyon, 38120, Saint-Egrève",98,Saint-Égrève,"SEM_54,SEM_51,SEM_63,SEM_E",LaMetro
"45.23714,5.660806",PAR,ST-EGREVE - SAN MARINO-BARRAGE,"San Marino barrage, 38120, Saint-Egrève",88,Saint-Égrève,"SEM_51,C38_T40,C38_T50,C38_T51,C38_T60,C38_T62,C38_X01,C38_X02,C38_X08",LaMetro
"45.213398,5.660971",PAR,SASSENAGE - JEAN PREVOST,"Place Jean Prévost, 38360, Les Côtes-de-Sassenage",80,Sassenage,"SEM_20,SEM_54,SEM_50,C38_CPL01,C38_T64,C38_VOR01",LaMetro
"45.22102100284127,5.659665123317892",PAR,SASSENAGE - ENGENIÈRES,"Rue des Engenières, 38360, Sassenage",40,Sassenage,SEM_20,LaMetro
"45.179581,5.695704",PAR,SEYSSINET PARISET - HÔTEL DE VILLE,"Rue Lamartine, 38170, Seyssinet-Pariset",75,Seyssinet-Pariset,"SEM_C6,SEM_C,SEM_83,SEM_19,SEM_20",LaMetro
"45.16609,5.690739",PAR,SEYSSINS - LE PRISME,"Avenue de Grenoble, 38180, Seyssins",120,Seyssins,"SEM_21,SEM_49,SEM_C,SEM_C6,SEM_83",LaMetro
"45.198759,5.750686",PAR,LA TRONCHE - GRAND SABLON,"4 avenue de l’Obiou, 38700, La Tronche",232,La Tronche,"SEM_42,SEM_41,SEM_B,C38_T82,C38_T85",LaMetro
"45.050038,5.671031",PAR,VIF - LA VALONNE,"Boulevard de la Résistance, 38450, Vif",71,Vif,"SEM_26,SEM_45,SEM_25,C38_VIF02",LaMetro
"45.047859,5.6855",PAR,VIF - GARE,"Avenue de la Gare, 38450, Vif",20,Vif,"SEM_26,SNC_CTX63,SNC_CAR063,SNC_K063",LaMetro
"45.085798,5.743566",PAR,JARRIE - VIZILLE - GARE,"Allée de la Croix de la Vue, 38560, Jarrie",34,Jarrie,"SEM_70,SEM_71,SNC_CTX63,SNC_CAR063,SNC_K063",LaMetro
"45.043806,5.701652",PAR,ST-GEORGES-DE-COMMIERS - GARE,"Rue de la gare, 38450, St-Georges-de-Commiers",28,Saint-Georges-de-Commiers,"SEM_26,C38_T92,SNC_CTX63,SNC_CAR063,SNC_K063",LaMetro
"45.262894,5.901989",PAR,GARE DE BRIGNOUD,"Avenue Robert Huant, 38190, Villard-Bonnot",115,Villard-Bonnot,"C38_X02,SNC_CAR601,SNC_K012,GSV_G2,GSV_G4",LeGresivaudan
"45.23479,5.88171",PAR,GARE DE LANCEY,"Avenue des Papeteries, 38190, Villard-Bonnot",118,Villard-Bonnot,"C38_COR01,C38_COR02,C38_DOM01,C38_GIE01,C38_SMH03,C38_T86,C38_X02,C38_VIB13,SNC_CAR601,SNC_K012,GSV_G2,GSV_NVA",LeGresivaudan
"45.10319,5.686464",PAR,VARCES - ROCHEFORT,"D1075 Le grand rochefort, 38760, Varces-Allières-et-Risset",101,Varces-Allières-et-Risset,"SEM_26,SEM_25",LaMetro
"45.080562,5.774274",PAR,CHANTEFEUILLE,"Avenue Maurice Thorez, 38220, Vizille",70,Vizille,"SEM_65,SEM_70,C38_T75,C38_T90,C38_X03",LaMetro
