barrette_id,barrette_place_nb_total,voie,barrette_type_nom,barrette_secteur_controle,barrette_zone_tarif,barrette_datecre,barrette_controle,barrette_sign_horiz_nom,barrette_peint_date,barrette_place_nb_active,geo_shape,geo_point_2d
61,5.0,Rue Pierre Sémard,Long,51.0,vert,20080717000000.0,1,Dégradé,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7089259,45.1930413],[5.7091225,45.1929016]]}","45.192971483320854,5.709024234868512"
64,8.0,Rue Diderot,Long,64.0,vert,20080717000000.0,1,Bon Etat,,6.0,"{""type"":""LineString"",""coordinates"":[[5.7048158,45.1904594],[5.7050249,45.1901255]]}","45.19029247451557,5.704920371303444"
65,5.0,Rue Diderot,Long,64.0,vert,20080717000000.0,1,Bon Etat,,5.0,"{""type"":""LineString"",""coordinates"":[[5.7051361,45.1899582],[5.7052665,45.1897542]]}","45.18985616511726,5.705201299365164"
71,5.0,Rue Revol,Long,64.0,vert,20080717000000.0,1,Absent,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7079678,45.1910283],[5.7079565,45.1907822]]}","45.19090525297985,5.707962145176513"
72,8.0,Rue Revol,Long,64.0,vert,20080717000000.0,1,Absent,,8.0,"{""type"":""LineString"",""coordinates"":[[5.7078923,45.1894965],[5.7078778,45.1891325]]}","45.18931449575521,5.707885031776113"
74,4.0,Rue Amédée Morel,Long,64.0,vert,20080717000000.0,1,Absent,,4.0,"{""type"":""LineString"",""coordinates"":[[5.7087175,45.1895102],[5.7086956,45.1892984]]}","45.18940426914797,5.708706532427871"
76,1.0,Rue René Thomas,Long,64.0,vert,20080717000000.0,1,Absent,,0.0,"{""type"":""LineString"",""coordinates"":[[5.7088695,45.1898355],[5.7089508,45.1898527]]}","45.18984410386689,5.708910138431329"
78,5.0,Rue Capitaine Veyron La Croix,Long,64.0,vert,20080717000000.0,1,Absent,,5.0,"{""type"":""LineString"",""coordinates"":[[5.7103279,45.1908364],[5.7102624,45.1906116]]}","45.19072400439631,5.710295141960902"
79,2.0,Rue Aimé Berey,Long,64.0,vert,20080717000000.0,1,Absent,,1.0,"{""type"":""LineString"",""coordinates"":[[5.7096603,45.1909126],[5.709652,45.1908216]]}","45.19086712820885,5.709656126128607"
80,2.0,Rue René Thomas,Long,64.0,vert,20080717000000.0,1,Absent,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7099096,45.1901195],[5.710036,45.1901474]]}","45.190133472832976,5.709972784424572"
81,15.0,Rue Aimé Berey,Long,64.0,vert,20080717000000.0,1,Dégradé,,15.0,"{""type"":""LineString"",""coordinates"":[[5.7095743,45.1907509],[5.7095022,45.1900655]]}","45.19040820589268,5.709538252726983"
82,3.0,Rue Aimé Berey,Long,64.0,vert,20080717000000.0,1,Dégradé,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7094812,45.1899235],[5.7094698,45.1897827]]}","45.189853083737916,5.709475534794778"
83,7.0,Rue Aimé Berey,Long,64.0,vert,20080717000000.0,1,Absent,,4.0,"{""type"":""LineString"",""coordinates"":[[5.709482,45.1891406],[5.709439,45.188803]]}","45.18897179956745,5.709460472657991"
85,6.0,Rue Anthoard,Long,64.0,vert,20080717000000.0,1,Absent,,6.0,"{""type"":""LineString"",""coordinates"":[[5.7097807,45.1887729],[5.7101516,45.1888331]]}","45.188803001084295,5.709966119767662"
86,8.0,Rue Adrien Ricard,Épis,64.0,vert,20080717000000.0,1,Absent,,8.0,"{""type"":""LineString"",""coordinates"":[[5.7088005,45.1913324],[5.7087715,45.1911263]]}","45.19122933301212,5.708786032819988"
87,6.0,Rue Adrien Ricard,Épis,64.0,vert,20080717000000.0,1,Absent,,4.0,"{""type"":""LineString"",""coordinates"":[[5.7089665,45.1915543],[5.7089512,45.1914325]]}","45.191493422334915,5.708958845100061"
88,5.0,Rue d'Alembert,Long,64.0,vert,20080717000000.0,1,Absent,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7114031,45.1902793],[5.7113742,45.1900419]]}","45.190160554530095,5.71138862975013"
89,3.0,Rue d'Alembert,Long,64.0,vert,20080717000000.0,1,Absent,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7113399,45.1904586],[5.7113208,45.1902891]]}","45.190373887030326,5.711330349320661"
90,9.0,Rue Anthoard,Long,64.0,vert,20080717000000.0,1,Absent,,6.0,"{""type"":""LineString"",""coordinates"":[[5.7113453,45.1890758],[5.7119315,45.1891581]]}","45.189116971219754,5.711638393854237"
91,6.0,Rue Anthoard,Long,64.0,vert,20080717000000.0,1,Absent,,4.5,"{""type"":""LineString"",""coordinates"":[[5.7122966,45.1892066],[5.7127027,45.1892653]]}","45.189235970900214,5.712499629969588"
92,8.0,Rue d'Alembert,Long,15.0,vert,20080717000000.0,1,Dégradé,,7.0,"{""type"":""LineString"",""coordinates"":[[5.7112324,45.1889711],[5.7111865,45.1885996]]}","45.18878536424609,5.71120944272357"
93,13.0,Rue d'Alembert,Épis,15.0,vert,20080717000000.0,1,Dégradé,,12.0,"{""type"":""LineString"",""coordinates"":[[5.7110959,45.1889456],[5.7110796,45.1886799]]}","45.18881274775329,5.711087739458428"
95,5.0,Cours Berriat,Long,15.0,vert,20080717000000.0,1,Dégradé,,4.0,"{""type"":""LineString"",""coordinates"":[[5.7081834,45.1886379],[5.7085451,45.1886155]]}","45.18862668682433,5.7083642568987125"
96,6.0,Cours Berriat,Long,15.0,vert,20080717000000.0,1,Dégradé,,6.0,"{""type"":""LineString"",""coordinates"":[[5.7105564,45.188493],[5.7109504,45.1884691]]}","45.1884810256019,5.710753427667082"
97,4.0,Cours Berriat,Long,15.0,vert,20080717000000.0,1,,,0.0,"{""type"":""LineString"",""coordinates"":[[5.7115541,45.1884388],[5.7118547,45.1884215]]}","45.18843014083218,5.711704398256978"
98,5.0,Cours Berriat,Long,31.0,orange,20080717000000.0,1,Bon Etat,,5.0,"{""type"":""LineString"",""coordinates"":[[5.7128309,45.1883562],[5.7131588,45.1883381]]}","45.18834714770655,5.712994838582932"
