plaspe_id,plaspe_type_nom,adresse,plaspe_barrette_id,plaspe_datecre,plaspe_peint_date,plaspe_arrete_num,plaspe_sign_horiz_etat,plaspe_sign_vert_etat,geo_point_2d
1616,PMR,"11 Rue Charles Bertier",7262,20130607000000,,,"Bon Etat","Bon Etat","45.200519388591836,5.711753701984497"
24,PMR,"4 TER Rue Boucher de Perthes",6101,20080717000000,,,Dégradé,Absent,"45.18405915778001,5.707825818177914"
245,PMR,"34 Chemin de l'Église",938,20080717000000,,,Absent,"Bon Etat","45.177338364946365,5.732122237285301"
2904,PMR,"12 Quai des Allobroges",7354,20140509000000,,,"Bon Etat","Bon Etat","45.19949583385323,5.733145048617303"
4119,"Vélos électriques et trotinettes en libre-service","9 Rue Billerey",7121,20230427000000,,,"Bon Etat",,"45.189824604361114,5.721050078861489"
3582,PMR,"7 Place Bir Hakeim",433,20230315000000,,,Dégradé,"Bon Etat","45.18857594402115,5.7365845254330186"
3581,Autopartage,"7 Place Bir Hakeim",433,20230315000000,,,"Bon Etat","Bon Etat","45.18854728215772,5.736501906141133"
2225,Autopartage,"7 Place Bir Hakeim",433,20130610000000,,,"Bon Etat","Bon Etat","45.188523643935575,5.736433767944957"
1114,Livraison,"7 Place Bir Hakeim",6545,20090202000000,,,"Bon Etat","Bon Etat","45.18867387679544,5.736862403580412"
1113,PMR,"7 Place Bir Hakeim",433,20111003000000,,,Dégradé,"Bon Etat","45.18859631729107,5.736643252583497"
123,PMR,"1 Rue Dolomieu",1995,20080717000000,,,Dégradé,"Bon Etat","45.18805328797406,5.7350522249210725"
3593,Autopartage,"4 Rue Dominique Villars",471,20230316000000,,,"Bon Etat","Bon Etat","45.1907549594672,5.733093424101836"
3592,Autopartage,"4 Rue Dominique Villars",471,20230316000000,,,"Bon Etat","Bon Etat","45.19080840479793,5.733051725829136"
3591,Livraison,"2 Rue Dominique Villars",471,20230316000000,,,"Bon Etat","Bon Etat","45.19085332337463,5.7330166800962665"
1069,Livraison,"2 Rue Dominique Villars",471,20111003000000,,,"Bon Etat","Bon Etat","45.19090289307682,5.732978005454387"
235,PMR,"16 Rue des Charmilles",2335,20080717000000,,,Dégradé,"Bon Etat","45.175377198461774,5.728337943362919"
3823,PMR,"6 Rue Commandant Gilot",706,20230404000000,,,"Bon Etat","Bon Etat","45.18127064483189,5.721583659168932"
3030,"Bornes de recharge électrique","4 Rue Commandant Gilot",,20140923000000,,,"Bon Etat","Bon Etat","45.181405847849696,5.721542326643448"
111,PMR,"5 Route de Clémencières",7346,20080717000000,,,"Bon Etat","Bon Etat","45.19720151800029,5.718901994075733"
3969,"Vélos électriques et trotinettes en libre-service","1 Rue Clément",3443,20230419000000,,,"Bon Etat",,"45.18529114975616,5.716733660147502"
4093,Livraison,"7 Rue Colbert",134,20230426000000,,,Dégradé,"Bon Etat","45.18711536634823,5.716591475678336"
776,Livraison,"7 Rue Colbert",134,20110502000000,,,Dégradé,"Bon Etat","45.187136628800815,5.716515225700166"
296,PMR,"2 Impasse Clément Ader",,20080717000000,,,Absent,"Bon Etat","45.176835745988974,5.750175218422616"
3460,"Vélos électriques et trotinettes en libre-service","1 Rue Aimé Berey",79,20230220000000,,,"Bon Etat",,"45.190894019227365,5.709658576629708"
3465,Livraison,"18 Rue Colonel Tanant",4576,20230221000000,,,"Bon Etat","Bon Etat","45.19095930468725,5.706786957277396"
3995,Autopartage,"27 Rue Docteur Hermite",3779,20230424000000,,,"Bon Etat","Bon Etat","45.18173045053399,5.708449796357433"
3994,Autopartage,"27 Rue Docteur Hermite",3779,20230424000000,,,"Bon Etat","Bon Etat","45.18173216381839,5.708374751617114"
4181,"Vélos électriques et trotinettes en libre-service","35 Rue Docteur Hermite",3762,20230502000000,,,"Bon Etat",,"45.18175591950604,5.707388212226837"
2844,Livraison,"40 Rue des Champs Elysées",1081,20140428000000,,,Dégradé,"Bon Etat","45.17924424378748,5.705599955672429"
208,PMR,"5 Rue Docteur Schweitzer",5885,20080717000000,,,"Bon Etat","Bon Etat","45.174286487532314,5.7083644450392335"
297,PMR,"13 Rue Condé",1751,20080717000000,,,"Bon Etat","Bon Etat","45.179166544881554,5.7428589168300235"
4453,PMR,"7 Rue des Champs Elysées",7669,20230615000000,,,Dégradé,"Bon Etat","45.17847986803592,5.709411112434856"
328,PMR,"50 Allée des Deux Mondes",1273,20080717000000,,,"Bon Etat","Bon Etat","45.16575100599818,5.7267246623631385"
684,PMR,"30 Rue Christophe Turc",5619,,,,"Bon Etat","Bon Etat","45.1611814524389,5.724618831382411"
4176,Livraison,"9 Quai Claude Bernard",7188,20230428000000,,,"Bon Etat","Bon Etat","45.192389949606785,5.719199698595182"
775,Livraison,"9 Quai Claude Bernard",7188,20230428000000,,,"Bon Etat","Bon Etat","45.192403389738,5.71912797402702"
4477,PMR,"37 Rue Émile Zola",7785,20230620000000,,,"Bon Etat","Bon Etat","45.17458158374007,5.728172417940223"
4478,"Vélos électriques et trotinettes en libre-service","31 Rue Émile Zola",2311,20230620000000,,,"Bon Etat",,"45.17440071964876,5.728877816469061"
1147,Livraison,"2 Rue Charles Péguy",3749,20111102000000,,,"Bon Etat","Bon Etat","45.17882778483674,5.715501733699905"
220,PMR,"2 Rue Charles Péguy",3749,20080717000000,,,"Bon Etat","Bon Etat","45.17882679877508,5.715434320942394"
1325,"Dépose minute","68 Rue des Eaux Claires",3701,20120910000000,,,,,"45.174153417537646,5.706992461039539"
2224,Autopartage,"9 Rue Hébert",6500,20130610000000,,,Absent,"Bon Etat","45.18991773193581,5.7352960227879635"
627,PMR,"6 BIS Boulevard Clemenceau",1846,,,,"Bon Etat","Bon Etat","45.18621770478255,5.743316652802594"
1230,"Transport de fond","11 Boulevard Clemenceau",1732,20120405000000,,,,,"45.185526346987224,5.742592215096809"
3929,Livraison,"43 Rue d'Alembert",6057,20230411000000,,,Dégradé,Dégradé,"45.1867268488846,5.710980293984386"
768,Livraison,"43 Rue d'Alembert",2155,20230407000000,,,Dégradé,Dégradé,"45.18677334600497,5.71098603065801"
1378,Livraison,"85 Rue d'Alembert",6074,20120910000000,,,Dégradé,"Bon Etat","45.18368044061448,5.710619249972123"
3434,"Vélos électriques et trotinettes en libre-service","71 Rue d'Alembert",6076,20230209000000,,,"Bon Etat",,"45.18458785133907,5.710735467133849"
384,PMR,"71 Rue d'Alembert",6076,20230209000000,,,"Bon Etat","Bon Etat","45.184611293912226,5.710737763198575"
144,PMR,"7 Rue Jay",568,20080717000000,,,Dégradé,"Bon Etat","45.18945220388214,5.721102124330922"
364,PMR,"22 Avenue de Constantine",4497,20140522000000,,,"Bon Etat","Bon Etat","45.160448956741874,5.7350552502849546"
648,PMR,"18 Rue Federico Garcia Lorca",5822,,,,"Bon Etat","Bon Etat","45.17147240335106,5.734082308977289"
371,PMR,"8 Allée des Frênes",1941,20140417000000,,,"Bon Etat","Bon Etat","45.161033387823565,5.73674486366864"
