type,geo_point_2d,city,name,clustergtfsid
stops,"45.2122,5.76728",Meylan,Revirée - Sayettes,
stops,"45.20323,5.74535",La Tronche,Commandant Nal,
stops,"45.20564,5.74888",La Tronche,Musée Hébert,
stops,"45.20617,5.75214",La Tronche,Centre Théologique,
stops,"45.21128,5.78724",Meylan,Malacher,
stops,"45.20094,5.75814",La Tronche,La Carronnerie Basse,
stops,"45.21024,5.78405",Meylan,Granier,
stops,"45.20941,5.77926",Meylan,Meylan Mairie,
stops,"45.20883,5.77503",Meylan,Piscine des Buclos,
stops,"45.20598,5.77184",Meylan,Le Brêt,
stops,"45.2059,5.77174",Meylan,Le Brêt,
stops,"45.2248,5.83767",Saint-Ismier,Bois Français,
stops,"45.20712,5.76741",Meylan,La Revirée,
stops,"45.19056,5.72512",Grenoble,Victor Hugo,
stops,"45.20454,5.75928",Meylan,Les Léchères,
stops,"45.20521,5.75858",Meylan,Les Léchères,
stops,"45.20268,5.7609",Meylan,Plaine Fleurie,
stops,"45.22064,5.78917",Meylan,Les Jaillières,
stops,"45.21947,5.78613",Meylan,Saint-Mury,
stops,"45.21882,5.78312",Meylan,Bérivière,
stops,"45.21605,5.77947",Meylan,Les Mûriers,
stops,"45.2124,5.76983",Meylan,Chaumetière,
stops,"45.21282,5.77305",Meylan,Saint-Jean Bosco,
stops,"45.21416,5.7791",Meylan,Lycée du Grésivaudan - Bachais,
stops,"45.22996,5.78973",Meylan,Montlivet,
stops,"45.20152,5.83821",Domène,Domène Mairie,
stops,"45.19636,5.82887",Domène,Les Mortes,
stops,"45.19186,5.81663",Murianette,Le Bourg,
stops,"45.18902,5.81006",Gières,La Perrière,
stops,"45.18971,5.81173",Murianette,La Perrière,
stops,"45.18746,5.80706",Gières,Le Japin,
stops,"45.18578,5.80285",Gières,Champrondet,
stops,"45.18388,5.79852",Gières,Pied de Gières,
stops,"45.18381,5.79849",Gières,Pied de Gières,
stops,"45.22998,5.78981",Meylan,Montlivet,
stops,"45.195,5.72917",Grenoble,Place Cymaise,
stops,"45.11774,5.66797",Claix,Les Roses,
stops,"45.11791,5.66739",Claix,Les Roses,
stops,"45.17101,5.82184",Venon,Le Chapon,
stops,"45.17096,5.82185",Venon,Le Chapon,
stops,"45.17007,5.81362",Venon,Le Reynet,
stops,"45.1699,5.81322",Venon,Le Reynet,
stops,"45.19497,5.72614",Grenoble,Musée Dauphinois,
stops,"45.14448,5.70071",Échirolles,Danielle Casanova,
stops,"45.19503,5.72611",Grenoble,Musée Dauphinois,
stops,"45.17265,5.81045",Venon,Le Perroud,
stops,"45.17245,5.81036",Venon,Le Perroud,
stops,"45.15827,5.75976",Poisat,Centre Socio-Culturel,
stops,"45.17034,5.8108",Venon,Sous-Perroud,
stops,"45.1703,5.81077",Venon,Sous-Perroud,
stops,"45.21476,5.70442",Saint-Martin-le-Vinoux,L'Hermitage,
stops,"45.14704,5.72608",Échirolles,Le Château,
stops,"45.14711,5.72619",Échirolles,Le Château,
stops,"45.17058,5.80748",Venon,La Chênaie,
stops,"45.17051,5.80746",Venon,La Chênaie,
stops,"45.22609,5.72541",Saint-Martin-le-Vinoux,Levetière,
stops,"45.15907,5.72674",Grenoble,Edmond Esmonin,
stops,"45.1435,5.72943",Échirolles,Stade,
stops,"45.22614,5.72551",Saint-Martin-le-Vinoux,Levetière,
stops,"45.22225,5.72467",Saint-Martin-le-Vinoux,Lachal,
stops,"45.22258,5.72475",Saint-Martin-le-Vinoux,Lachal,
stops,"45.2177,5.72187",Saint-Martin-le-Vinoux,Mas Caché,
stops,"45.25604,5.62804",Veurey-Voroize,La Cuche,
stops,"45.21735,5.72194",Saint-Martin-le-Vinoux,Mas Caché,
stops,"45.17181,5.80468",Venon,Venon Mairie,
stops,"45.17165,5.80482",Venon,Venon Mairie,
stops,"45.17377,5.80279",Venon,La Ville,
stops,"45.17409,5.80262",Venon,La Ville,
stops,"45.21513,5.71914",Saint-Martin-le-Vinoux,La Gomma,
stops,"45.21528,5.71941",Saint-Martin-le-Vinoux,La Gomma,
stops,"45.16219,5.74912",Eybens,La Châtelière,
stops,"45.16217,5.74903",Eybens,La Châtelière,
stops,"45.15112,5.74959",Eybens,Les Javaux,
stops,"45.15336,5.74848",Eybens,Odyssée,
stops,"45.15927,5.74557",Eybens,Val d'Eybens,
stops,"45.21153,5.71775",Saint-Martin-le-Vinoux,Hôtel Bellevue,
stops,"45.19819,5.83412",Domène,L'Oratoire,
stops,"45.15752,5.76412",Poisat,Cimetière Intercommunal,
stops,"45.2183,5.77919",Meylan,Haut-Meylan,
stops,"45.21178,5.71773",Saint-Martin-le-Vinoux,Hôtel Bellevue,
stops,"45.17305,5.79821",Venon,La Serralière,
stops,"45.17283,5.79806",Venon,La Serralière,
stops,"45.17526,5.79498",Venon,La Faurie,
stops,"45.17542,5.79467",Venon,La Faurie,
stops,"45.20963,5.718",Saint-Martin-le-Vinoux,Les Combes,
stops,"45.20972,5.71803",Saint-Martin-le-Vinoux,Les Combes,
stops,"45.18108,5.78844",Gières,Edelweiss,
stops,"45.18116,5.78826",Gières,Edelweiss,
stops,"45.20521,5.71826",Saint-Martin-le-Vinoux,Les Fauvettes,
stops,"45.19647,5.67717",Fontaine,Gérard Philipe,
stops,"45.20658,5.7175",Saint-Martin-le-Vinoux,Les Fauvettes,
stops,"45.1979,5.68869",Fontaine,Jules Guesde,
stops,"45.19421,5.69473",Fontaine,Rue Pasteur,
stops,"45.20365,5.71693",Saint-Martin-le-Vinoux,Place du Village,
stops,"45.20364,5.7167",Saint-Martin-le-Vinoux,Place du Village,
stops,"45.19235,5.69252",Fontaine,Curie - Vercors,
stops,"45.19239,5.69687",Fontaine,Saveuil,
stops,"45.19246,5.69614",Fontaine,Saveuil,
stops,"45.19242,5.69961",Fontaine,Pont du Vercors,
stops,"45.22685,5.72071",Saint-Martin-le-Vinoux,Ripaillère,
stops,"45.1974,5.69355",Fontaine,Charmettes,
stops,"45.19786,5.69305",Fontaine,Charmettes,
stops,"45.19181,5.69499",Fontaine,Curie - Vercors,
stops,"45.24948,5.66712",Fontanil-Cornillon,Rafour,
stops,"45.22682,5.72078",Saint-Martin-le-Vinoux,Ripaillère,
stops,"45.24964,5.63166",Noyarey,Le Ruisset,
stops,"45.22494,5.71908",Saint-Martin-le-Vinoux,Gatinet,
stops,"45.24291,5.63206",Noyarey,Bascule,
stops,"45.23642,5.63803",Noyarey,Chaulnes,
stops,"45.23201,5.64523",Noyarey,Praparis - Les Roses,
stops,"45.2249,5.71914",Saint-Martin-le-Vinoux,Gatinet,
stops,"45.20651,5.70884",Saint-Martin-le-Vinoux,Conrad Kilian,
stops,"45.20649,5.70878",Saint-Martin-le-Vinoux,Conrad Kilian,
stops,"45.23999,5.68407",Saint-Égrève,Eglise,
stops,"45.23787,5.68891",Saint-Égrève,La Monta,
stops,"45.22001,5.71508",Saint-Martin-le-Vinoux,La Rivoire,
stops,"45.22925,5.6497",Sassenage,Praparis Usine,
stops,"45.21502,5.66112",Sassenage,La Rollandière,
stops,"45.21994,5.71515",Saint-Martin-le-Vinoux,La Rivoire,
stops,"45.17259,5.69689",Seyssinet-Pariset,La Plaine,
stops,"45.17525,5.69689",Seyssinet-Pariset,Beau Site,
stops,"45.17816,5.69702",Seyssinet-Pariset,L'Arche,
stops,"45.21401,5.70998",Saint-Martin-le-Vinoux,Narbonne,
stops,"45.21405,5.70999",Saint-Martin-le-Vinoux,Narbonne,
stops,"45.25955,5.62603",Veurey-Voroize,Iles Cordées,
stops,"45.2383,5.63509",Noyarey,Saint-Jean,
stops,"45.2148,5.70448",Saint-Martin-le-Vinoux,L'Hermitage,
stops,"45.18161,5.78271",Gières,Le Sonnant,
stops,"45.21205,5.76638",Meylan,Revirée - Sayettes,
stops,"45.15182,5.71016",Échirolles,Grugliasco,
stops,"45.26152,5.62492",Veurey-Voroize,Perrières,
stops,"45.26819,5.61932",Veurey-Voroize,Les Echalières,
stops,"45.14659,5.70156",Échirolles,Colonel Manhès,
stops,"45.14499,5.71729",Échirolles,Marie Curie,
stops,"45.15157,5.70979",Échirolles,Grugliasco,
stops,"45.14728,5.71347",Échirolles,Paul Héroult,
stops,"45.1447,5.71643",Échirolles,Marie Curie,
stops,"45.14246,5.71519",Échirolles,Auguste Delaune,
stops,"45.15122,5.70876",Échirolles,Grugliasco,
stops,"45.14627,5.72981",Échirolles,Ecoles Hospitalières,
stops,"45.14724,5.72672",Échirolles,Le Château,
stops,"45.14967,5.71884",Échirolles,La Rampe - Centre-Ville,
stops,"45.15122,5.70907",Échirolles,Grugliasco,
stops,"45.14732,5.72671",Échirolles,Le Château,
stops,"45.20702,5.74536",La Tronche,Grande Tronche,
stops,"45.14219,5.71511",Échirolles,Auguste Delaune,
stops,"45.14965,5.71924",Échirolles,La Rampe - Centre-Ville,
stops,"45.14638,5.72973",Échirolles,Ecoles Hospitalières,
stops,"45.1469,5.73274",Échirolles,Hôpital Sud,
stops,"45.14691,5.73235",Échirolles,Hôpital Sud,
stops,"45.14793,5.73494",Échirolles,François Quesnay,
stops,"45.1479,5.73517",Échirolles,François Quesnay,
stops,"45.14612,5.70442",Échirolles,Bayard,
stops,"45.14406,5.7005",Échirolles,Danielle Casanova,
stops,"45.14303,5.70002",Échirolles,Vassieux,
stops,"45.1148,5.69029",Claix,Carrière,
stops,"45.11471,5.69019",Claix,Carrière,
stops,"45.121,5.67609",Claix,La Ronzy,
stops,"45.12118,5.68251",Claix,La Chièze,
stops,"45.22152,5.79088",Meylan,Les Jaillières,
stops,"45.21871,5.78303",Meylan,Bérivière,
stops,"45.21504,5.77969",Meylan,Les Mûriers,
stops,"45.2129,5.77365",Meylan,Saint-Jean Bosco,
stops,"45.21249,5.77128",Meylan,Chaumetière,
stops,"45.21987,5.66051",Sassenage,Les Engenières,
stops,"45.20273,5.76086",Meylan,Plaine Fleurie,
