type,id,nom,adresse,code_postal,commune,libelle,geo_point_2d
irve,E35,"Bibliothèques universitaires","Avenue Centrale",38400,"Saint Martin D'Hères","Bibliothèques universitaires","45.191601,5.769781"
irve,E36,Bonne,"Rue Marceau",38000,Grenoble,Bonne,"45.183632,5.721398"
irve,E39,"Cité Internationale","Rue Félix Esclangon",38000,Grenoble,"Cité Internationale","45.195636,5.710603"
irve,E40,Dumont,"Rue du Colonel Dumont",3800,Grenoble,Dumont,"45.181404,5.72151"
irve,E41,"Gares - Alsace Lorraine","Place de la Gare",38000,Grenoble,"Gares - Alsace Lorraine","45.189964,5.715618"
irve,E42,"Gares - Schuman","Intersection Rue de la Frise et Avenue Doyen Weil",38000,Grenoble,"Gares - Schuman","45.191854,5.71311"
irve,E43,"Gières Gare","Rue de la gare",38610,Gières,"Gières Gare","45.184625,5.7845189999999995"
irve,E44,"Les Taillées Universités","Rue de Houille Blanche",38400,"Saint Martin D'Hères","Les Taillées Universités","45.191913,5.757222"
irve,E46,"Malraux CCI","Place André Malraux",38000,Grenoble,"Malraux CCI","45.18551,5.729506"
irve,E51,Vaucanson,"Place Vaucanson",38000,Grenoble,Vaucanson,"45.188181,5.727783"
irve,E55,"Stéphane Jay","Quai Stéphane Jay",38000,Grenoble,"Stéphane Jay","45.193022,5.725525"
irve,E56,Balzac,"Angle Rue Honoré de Balzac et Stalingrad",38100,Grenoble,Balzac,"45.174804,5.724801"
irve,E58,Thiers,"Rue Thiers",38000,Grenoble,Thiers,"45.185097,5.719675"
irve,E66,"Meylan Tuileaux","Place des Tuileaux",38240,Meylan,"Meylan Tuileaux","45.210934,5.786327"
irve,01,Achard,"Place Achard",38000,Grenoble,Achard,"45.189387,5.729391"
irve,05,"CEA Cambridge","Rue des Martyrs",38000,Grenoble,"CEA Cambridge","45.202201,5.704736"
irve,06,"Chambre des Métiers","Rue Victor Lastella",38000,Grenoble,"Chambre des Métiers","45.184412,5.7040109999999995"
irve,13,Horowitz,"Rue Horowitz",38000,Grenoble,Horowitz,"45.205058894459356,5.69933461947614"
irve,14,"Jean Pain - Stade des alpes","Allée de l'Ancien Bastion",38000,Grenoble,"Jean Pain - Stade des alpes","45.187972,5.738264"
irve,16,"La Tronche / Grand Sablon","Avenue de l'Obiou",38700,Grenoble,"La Tronche / Grand Sablon","45.199417,5.750434"
irve,18,"Louise Michel","Intersection Rue Louise Michel et Boulevard Liberation",38100,Grenoble,"Louise Michel","45.169818,5.712591"
irve,21,"Notre Dame - Musée","Place Lavalette",38000,Grenoble,"Notre Dame - Musée","45.194072,5.731628"
irve,22,"Saint Bruno","Place Saint-Bruno",38000,Grenoble,"Saint Bruno","45.186009,5.713634"
irve,23,Seyssinet-Pariset,"Rue Lamartine",38170,Seyssinet-Pariset,Seyssinet-Pariset,"45.17999525259425,5.695541840225937"
irve,27,"Victor Hugo","Place Victor Hugo",38000,Grenoble,"Victor Hugo","45.188959,5.723815"
gnv,29,"Station GEG (limitée aux véhicules jusqu’à 12 tonnes)","49 rue Félix-Esclangon",38000,Grenoble,,"45.19386662478724,5.709333384269477"
gnv,30,"Station GEG","Chemin de la Carronerie",38700,"La Tronche",,"45.199472,5.758889"
gnv_projet,31,"Station GEG<br> Ouverture prévisionnelle début 2021","Avenue de l’Ile Brune",38120,Saint-Egrève,,"45.224023,5.673335"
gnv_projet,32,"Station Total<br> Ouverture prévisionnelle fin 2020","Relais des Balmes<br> RN75 Crue de Moirans",38340,Voreppe,,"45.3042149951782,5.625868438467146"
gnv_projet,43,"Station GNV Petite-Taillat<br> Ouverture prévisionnelle début 2021","N87 (Rocade Sud)",38240,Meylan,,"45.197863,5.780686"
gpl,33,"Station Agip","A48 - Aire de Voreppe",38340,Voreppe,,"45.276871,5.622712"
gpl,34,"Relais Total","A48 - Aire de Voreppe",38340,Voreppe,,"45.27801,5.624062"
gpl,35,"Centre Commercial Geant Casino","120 Boulevard Paul Langevin",38600,Fontaine,,"45.196915,5.67296"
gpl,36,"Relais Total de Villancourt","96 cours Saint-André",38800,"Le Pont-de-Claix",,"45.138471,5.702688"
gpl,37,"Relais Total","N87 (Rocade sud)",38320,Eybens,,"45.152015,5.739843"
gpl,38,"Total Acces","N90 Avenue de Verdun",38700,"La Tronche",,"45.195303,5.749875"
gpl,39,"Centre Commercial Carrefour","1 Boulevard des Alpes",38240,Meylan,,"45.202598,5.762318"
gpl,40,"Station Petite-Taillat","N87 (Rocade Sud)",38240,Meylan,,"45.19754,5.780657"
hydrogene,42,"Station Hydrogène","49 rue Félix-Esclangon",38000,Grenoble,,"45.19422198980576,5.709852567339288"
gpl,41,"Station Total Napoleon","742 Avenue Maurice Thorez",38220,Vizille,,"45.082971,5.765349"
