# Sensor Grenoble, France (Citizen Science project sensor.community/13222)
# https://aqicn.org/station/@60685/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.18,5.74,2.12,1.7,3.84,1.168,287
2019-12-10T00:00:00.000Z,1.96,7.97,2.76,2.45,4.63,1.776,373
2019-12-11T00:00:00.000Z,4.66,24.9,7.14,6.02,10.5,3.959,391
2019-12-12T00:00:00.000Z,1.23,11.57,2.83,2.16,4.4,1.978,430
2019-12-13T00:00:00.000Z,0.72,5.16,1.92,1.45,2.45,1.025,483
2019-12-14T00:00:00.000Z,1.65,24.37,9.46,2.82,13.22,6.431,346
2019-12-15T00:00:00.000Z,2.49,20.32,9.42,6.05,12.67,4.299,485
2019-12-16T00:00:00.000Z,3.97,10.4,5.65,5.05,7.59,1.69,249
2019-12-17T00:00:00.000Z,1.52,5.84,2.4,2.2,2.72,0.991,252
2019-12-18T00:00:00.000Z,3.05,9.61,5.05,4.18,6.25,1.494,408
2019-12-19T00:00:00.000Z,1.4,14.07,6.65,2.4,7.62,2.669,483
2019-12-20T00:00:00.000Z,0.3,9.77,1.63,0.76,5.08,2.714,458
2019-12-21T00:00:00.000Z,0.77,13.57,5.48,1.74,8.07,3.641,492
2019-12-22T00:00:00.000Z,0.94,5.6,2.86,1.94,3.6,1.032,490
2019-12-23T00:00:00.000Z,0.9,7.15,1.72,1.5,3.51,1.76,500
2019-12-24T00:00:00.000Z,2.4,21.66,5.18,4.21,7.59,4.08,481
2019-12-25T00:00:00.000Z,5.22,25.97,12.34,8.31,13.67,3.316,501
2019-12-26T00:00:00.000Z,5.14,13.76,9.15,7.43,9.91,1.548,508
2019-12-27T00:00:00.000Z,4.2,11.32,7.75,6.64,9.1,1.578,507
2019-12-28T00:00:00.000Z,4.44,13.8,6.84,5.96,8.46,1.678,507
2019-12-29T00:00:00.000Z,4.63,15.9,8.07,6.8,11.35,2.841,487
2019-12-30T00:00:00.000Z,7.28,65.33,13.12,12.18,14.62,7.009,501
2019-12-31T00:00:00.000Z,7.5,17.78,13.84,12.27,15.17,2.124,496
2020-01-01T00:00:00.000Z,12.9,28.7,16.55,14.95,20.53,3.438,507
2020-01-02T00:00:00.000Z,11.45,23.28,15.64,14.35,17.73,2.489,491
2020-01-03T00:00:00.000Z,9.97,24.4,17.17,15.1,18.75,2.878,466
