nom_rue,nom_commune,date_installation,num_materiel_evoserv,ent_vmoy,ent_v30,ent_v50,ent_v85,sor_vmoy,sor_v30,sor_v50,sor_v85,fid,geo_point_2d
,Eybens,,,,,,,,,,,1,"45.14703791696561, 5.753062443269812"
,Eybens,,,,,,,,,,,2,"45.14413740266508, 5.740385195150321"
1336 avenue Saint-Jean,Noyarey,septembre 2016,4007.0,72.0,34.0,40.0,50.0,70.0,37.0,42.0,51.0,3,"45.23794364374674, 5.635793875378211"
84 route de la Vanne,Noyarey,septembre 2016,3998.0,66.0,23.0,26.0,34.0,53.0,19.0,22.0,31.0,4,"45.24419905298954, 5.633918725699322"
744 route du Connex,Saint-Pierre-de-Mésage,novembre 2016,4043.0,36.0,20.0,23.0,29.0,58.0,19.0,21.0,27.0,5,"45.050699822524706, 5.763645567203012"
13 bis rue de la Resistance,Saint-Martin-le-Vinoux,novembre 2016,4104.0,89.0,36.0,40.0,48.0,81.0,40.0,45.0,55.0,6,"45.20096191959998, 5.717255913709152"
138 rue Felix Faure,Saint-Martin-le-Vinoux,decembre 2016,4105.0,,,,,,,,,7,"45.21407214754097, 5.694099207306681"
12 chemin du Drac,Sassenage,decembre 2016,4091.0,81.0,32.0,36.0,46.0,62.0,32.0,38.0,47.0,8,"45.20598832899656, 5.676393358090873"
14 chemin du Neron,Sassenage,decembre 2016,4089.0,80.0,29.0,35.0,45.0,64.0,30.0,36.0,47.0,9,"45.20838213646952, 5.673941857031771"
27 rue de l'Argentiere,Sassenage,janvier 2017,4099.0,61.0,37.0,42.0,51.0,75.0,42.0,46.0,57.0,10,"45.203830621672566, 5.680273913665959"
Grande Rue,La Tronche,,3734.0,49.0,22.0,25.0,34.0,,,,,11,"45.20634383948365, 5.741532003662592"
avenue des Maquis du Gresivaudan,La Tronche,juillet 2016,3731.0,,,,,,,,,12,"45.20403464789873, 5.746064216102454"
19 avenue Louis Armand,Seyssins,septembre 2016,4001.0,53.0,22.0,26.0,35.0,50.0,27.0,32.0,41.0,13,"45.16857994722925, 5.69417430403669"
109 avenue de Claix,Seyssins,septembre 2016,4003.0,76.0,37.0,44.0,59.0,104.0,43.0,50.0,64.0,14,"45.14748471988417, 5.677774413545774"
30 rue Hector Berlioz,Seyssinet-Pariset,decembre 2016,4086.0,68.0,26.0,30.0,38.0,68.0,29.0,33.0,41.0,15,"45.17044613906191, 5.680774032124145"
52 avenue de la Republique,Seyssinet-Pariset,decembre 2016,4103.0,61.0,24.0,28.0,37.0,55.0,28.0,32.0,41.0,16,"45.182334881376384, 5.6971861131133625"
90 avenue de la Republique,Seyssinet-Pariset,decembre 2016,4100.0,66.0,25.0,28.0,38.0,53.0,28.0,32.0,42.0,17,"45.17837782804974, 5.6970383648068985"
2885 route d'Uriage,Vaulnaveys-le-Haut,decembre 2016,4055.0,58.0,42.0,47.0,60.0,56.0,47.0,53.0,67.0,18,"45.136653061536755, 5.824717694969363"
186 avenue d'Uriage,Vaulnaveys-le-Haut,decembre 2016,4083.0,73.0,37.0,42.0,50.0,70.0,38.0,42.0,50.0,19,"45.11595424869152, 5.808813086526949"
1141 avenue de Venaria,Vizille,septembre 2016,3999.0,43.0,24.0,28.0,37.0,39.0,23.0,27.0,36.0,20,"45.0835699237857, 5.771273260806422"
221 route d'Uriage,Vizille,juin 2017,4005.0,40.0,24.0,28.0,37.0,48.0,22.0,27.0,36.0,21,"45.07580146213352, 5.774883697767904"
960 avenue Aristide Briand,Vizille,novembre 2016,4000.0,67.0,40.0,47.0,63.0,70.0,43.0,49.0,63.0,22,"45.06705006700608, 5.769499673786986"
5 route de Montaud,Veurey-Voroize,decembre 2016,4054.0,53.0,24.0,28.0,37.0,57.0,26.0,29.0,36.0,23,"45.27091897067986, 5.616113641315255"
13 route de Montaud,Veurey-Voroize,septembre 2016,4006.0,47.0,24.0,28.0,37.0,46.0,22.0,26.0,36.0,24,"45.274605565279785, 5.613122553525473"
