nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesxy,nbre_pdc,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
ELECTRA,891624884.0,help@electra.com,ELECTRA,help@electra.com,,ELECTRA,,Saint-Égrève - BUT,Station dédiée à la recharge rapide,3 avenue de l'Île Brune 38120 Saint-Égrève,38382,"5.682108,45.216314",4,,150.0,0,0,1,0,0,0,1,1.0,1.0,,Accès libre,1,24/7,false,Direct,,2023-04-21,Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com,2023-07-17,
,,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,Ile Rose,,Ile Rose,Station dédiée à la recharge rapide,"Aire de L’Ile Rose, A48, 38340 Voreppe",38565,"5.623,45.277",5,,350.0,0,0,1,0,0,0,1,1.0,,,Accès libre,0,24/7,false,,,2021-12-23,EF connector is available at the site separately,2023-07-16,0.0
,,info@ionity.eu,,info@ionity.eu,+(33)-(1)-87210891,Ile Rose,,Ile Rose,Station dédiée à la recharge rapide,"Aire de L’Ile Rose, A48, 38340 Voreppe",38565,"5.623,45.277",5,,50.0,0,1,1,1,0,0,1,1.0,,,Accès libre,0,24/7,false,,,2021-12-23,EF connector is available at the site separately,2023-07-16,0.0
,,info@chargepoint.com,,info@chargepoint.com,,SONEPAR LE VINOUX,,SONEPAR LE VINOUX,Voirie,"24 Rue Louis Gagnière, 38950 Saint-Martin-le-Vinoux",38423,"5.685096,45.214781",2,,21.0,0,1,0,0,0,0,1,0.0,,,Accès libre,0,24/7,false,,,2022-10-12,EF connector is available at the site separately,2023-07-15,0.0
Fastned France,853300010.0,support@fastned.nl,,support@fastned.nl,+(33) 184710062,Aire de Saint-Nazaire les Eymes,,Aire de Saint-Nazaire les Eymes,Station dédiée à la recharge rapide,"Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,,300.0,0,1,1,1,0,0,1,0.0,1.0,0.59€ / kwh,Accès libre,0,24/7,false,Direct,,2022-11-30,,2023-07-16,0.0
Fastned France,853300010.0,support@fastned.nl,,support@fastned.nl,+(33) 184710062,Aire de Saint-Nazaire les Eymes,,Aire de Saint-Nazaire les Eymes,Station dédiée à la recharge rapide,"Aire de Saint-Nazaire les Eymes A41, 38330 Saint-Nazaire les Eymes",38431,"5.86101,45.243957",8,,300.0,0,0,1,0,0,0,1,0.0,1.0,0.59€ / kwh,Accès libre,0,24/7,false,Direct,,2022-11-30,,2023-07-16,0.0
,,info@chargepoint.com,,info@chargepoint.com,,SONEPAR AED CROLLES,,SONEPAR AED CROLLES,Voirie,"1 Pl. de la Mairie, 38920 Crolles",38140,"5.882983,45.284904",2,,21.0,0,1,0,0,0,0,1,0.0,,,Accès réservé,0,24/7,false,,,2023-06-26,EF connector is available at the site separately,2023-07-15,0.0
,,info@chargepoint.com,,info@chargepoint.com,,SUPER U BIVIERS BORNE 1,,SUPER U BIVIERS BORNE 1,Parking privé à usage public,"60 Chem. des Evequaux, 38330 Biviers",38045,"5.81642,45.238924",6,,21.0,0,1,0,0,0,0,1,0.0,,,Accès réservé,0,24/7,false,,,2022-10-11,EF connector is available at the site separately,2023-07-16,0.0
,,info@chargepoint.com,,info@chargepoint.com,,SONEPAR AED ST-M.HERES,,SONEPAR AED ST-M.HERES,Voirie,"38 Pl. de la Liberté, 38400 Saint-Martin-d'Hères",38421,"5.767761,45.165133",2,,21.0,0,1,0,0,0,0,1,0.0,,,Accès réservé,0,"Mo 06:30-19:00,Tu 06:30-19:00,We 06:30-19:00,Th 06:30-19:00,Fr 06:30-19:00",false,,,2023-06-26,EF connector is available at the site separately,2023-07-15,0.0
MA BORNE AUTO,880217922.0,e.barre@maborneauto.com,Non concerné,e.barre@maborneauto.com,361626161,DLM GRENOBLE,,DLM GRENOBLE,Parking privé à usage public,89 RUE MALIFAUD,38185,"5.7257621,45.1810981",1,,22.0,0,1,0,0,0,0,0,0.0,0.0,,Accès libre,0,24/7,0,Indirect,19698552757281,2022-03-30,,2022-03-30,
