fid,geo_point_2d,nom,epci,legende_sdic,geo_shape
1,"45.195965732827545,5.674311636843514",Chronovélo 6,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.674311636843514,45.195965732827545],[5.6753722911339,45.19480674771079],[5.676301858906829,45.193971938977676],[5.68838366717616,45.18579619120617],[5.689832233060519,45.184308435229326],[5.690950178040484,45.182745827985556],[5.69185954784732,45.181716746260506],[5.69330088085162,45.18057602804371],[5.693636126755708,45.18025426571501],[5.694336100762103,45.18023780007723],[5.694219033441825,45.17722516717919],[5.694044449975809,45.17254638601195],[5.694123122945364,45.171239461270304],[5.694131610055748,45.16707321771432],[5.694133657103678,45.16699359095559],[5.694133079642959,45.164994691386916],[5.693496289186452,45.164860994339556],[5.69344658955974,45.16430048543108],[5.694203401440162,45.161523846272814],[5.699467801487498,45.16224235817694],[5.698892873075599,45.16019917355911],[5.700419053536838,45.159882344375134],[5.701153489312811,45.15965151209586],[5.703389226545467,45.1589289478914],[5.70353827569431,45.15891581027563],[5.703482382263492,45.15841657863044],[5.704039628835278,45.15842572218592],[5.704668542579631,45.1578987440376],[5.705011336816077,45.15724636280909],[5.708362678479555,45.15602723910588],[5.706784005585416,45.15176935869327],[5.707115952234854,45.15187714927667],[5.707848211491069,45.15160381279881],[5.709263706333926,45.151021002144766],[5.709565352691774,45.15086687354581],[5.709889390074135,45.150787277866165],[5.711695101375388,45.15046367224629],[5.714705091893135,45.150920969128265],[5.71783987469713,45.15007013226717],[5.719957862859399,45.14940339546103],[5.720315002661898,45.14929956023289],[5.724298735090917,45.14804275721359],[5.726121221134041,45.14747776454742],[5.730351349288482,45.14610487371023],[5.735490630155593,45.14800223749903],[5.7378088195325,45.1487682230159],[5.740444240826545,45.14920076447446],[5.743222778316525,45.14969589765163],[5.746045347915367,45.151190396721354],[5.748795239294451,45.152647150382194]]]}"
2,"45.16354831928645,5.712649018169182",Chronovélo 5,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.712649018169182,45.16354831928645],[5.715684359274612,45.16195544467289],[5.720153117676646,45.16023001827217],[5.723791,45.15955699999989],[5.725387541538999,45.15928491751391],[5.728930951358593,45.15918974045628],[5.729152845661009,45.15917618114672],[5.734128625233094,45.15922265569273],[5.736748737714773,45.15932525245914],[5.739477931100969,45.159755584846685],[5.741050808363897,45.1605090663794],[5.744341,45.161672]]]}"
3,"45.18873292573135,5.740815788786307",Chronovélo 8,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.740815788786307,45.18873292573135],[5.741386,45.188359],[5.741992872035359,45.18761786150709],[5.742202,45.18714899999989],[5.743781467465934,45.18671221630974]]]}"
4,"45.12415298191962,5.697586332371214",Chronovélo 3,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.697586332371214,45.12415298191962],[5.697790827964463,45.12313763050504],[5.696832695468816,45.121196445454004],[5.693540823454144,45.11877836893715],[5.691571779436309,45.11745416401402],[5.690894677982542,45.116570031099904],[5.686863712712115,45.10514808225212],[5.683747369976815,45.09719228510937],[5.683553315813128,45.0905742127597],[5.683563426703651,45.08928898028544]]]}"
5,"45.191265086647405,5.715446987070938",Chronovélo 5,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.715446987070938,45.191265086647405],[5.716531572901644,45.19146369269014],[5.718420458337081,45.19182439648041],[5.720117909578669,45.192126732925075],[5.720615,45.192306]]]}"
6,"45.18202927228241,5.792441079040186",Chronovélo 6,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.792441079040186,45.18202927228241],[5.792355810321781,45.182139698639624],[5.792064009023754,45.18226310513195],[5.792013985944092,45.18242177022897],[5.791847242345212,45.182803739945314],[5.791647150026568,45.18314457229781],[5.791447057707914,45.18341488616095],[5.791171930769775,45.18356179533086],[5.790930152551406,45.18373808583436],[5.790755071772588,45.18392025211445],[5.790638351253374,45.18423169633986],[5.790538305094049,45.184954475429635],[5.790229829436137,45.1855185893186],[5.789913016598272,45.18602981270193],[5.788979252444574,45.18604156490963],[5.788162208810089,45.185865281539364],[5.787078375417407,45.1857007499012],[5.786744888219657,45.1857477589892],[5.786561470260898,45.18621784773402],[5.784076990637669,45.18828619209285],[5.786077913824161,45.18955536619489],[5.786719864537504,45.190555225445785],[5.784207384595806,45.19116832768139],[5.78323972221738,45.191463057611784],[5.782504274961714,45.19176146485393],[5.782400079082962,45.19483221154385],[5.781801853679933,45.1968623549966],[5.780910139644918,45.198720452547605],[5.78124039335393,45.20030252925684],[5.782111277036521,45.20185823668763],[5.782439733812087,45.20248668448289],[5.782982377461861,45.20288847308454],[5.783193916511775,45.20349115066665],[5.783564826234529,45.203806991439826],[5.784109052836393,45.20404845973825],[5.784706880586145,45.20422990802524],[5.786134294779297,45.20452838504236],[5.786655992706789,45.20465368331568]]]}"
7,"45.19073343997696,5.70465701449382",Chronovélo 5,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.70465701449382,45.19073343997696],[5.705774196606274,45.189041236577445],[5.705828765991209,45.18879171683575],[5.705828765991209,45.187532519046975],[5.705782559482625,45.18658810242499],[5.705643939956869,45.18428669975765],[5.705505320431111,45.18182235884748],[5.705446621234227,45.180769875812906],[5.705412907413939,45.18008531437837],[5.705295404086119,45.17787510402201],[5.705120090956023,45.174085201790774],[5.705028676042976,45.172502150832194],[5.704920037989034,45.17062834904913],[5.704735211954686,45.16749015706642],[5.706125219568583,45.166809530496806],[5.710274296980907,45.16469998881384],[5.711045674753338,45.16432092226284],[5.712649018169182,45.16354831928645]]]}"
8,"45.214198,5.780193",Chronovélo 6,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.780193,45.214198],[5.780965460412686,45.214409597122184],[5.781118332165888,45.21366921404357],[5.781366748764832,45.21322497956953],[5.782111998561677,45.21247111918826],[5.781866659515476,45.21157421369825]]]}"
9,"45.12415298191962,5.697586332371214",Chronovélo 3,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.697586332371214,45.12415298191962],[5.697695186639183,45.1238785038524],[5.702288066040945,45.11821068199949],[5.704657108489459,45.115280317641336],[5.705681301093521,45.11407474154935],[5.709914279820799,45.10884628982732],[5.716684448932578,45.10052105861824],[5.71989963303755,45.096534781585774],[5.721383844476817,45.094698069918955],[5.72393407325663,45.09170301713392],[5.724238819282185,45.09143729719246],[5.724727215924009,45.091144954274554],[5.726345809932158,45.09040108319142],[5.730987692502973,45.088555040051425],[5.734467684059514,45.0871193306809],[5.7382530038436,45.08521301933537],[5.741467244324993,45.083645266423225],[5.743892277556761,45.08317832281336],[5.745805710249818,45.08307066084653],[5.746376212564408,45.083160157242894],[5.747178960599939,45.08340940890054],[5.751546888393181,45.084442844274214],[5.754523520400531,45.08506765198015],[5.755691954857687,45.085176691246915],[5.756271428958929,45.085167937947105],[5.75694184050726,45.084963786210594],[5.757844408403501,45.0845427234274],[5.760126011854161,45.083631909910444],[5.763105391981641,45.08233564948143],[5.764723781694081,45.08137083788984],[5.766001472602345,45.07980583095009],[5.76634589991273,45.07902733572712],[5.765275041694266,45.07599188483372],[5.767600110725842,45.07555737829994],[5.768310511328599,45.075391824707054],[5.769183396796694,45.07518061041921],[5.76954470686561,45.075171857038555],[5.770093853114218,45.07519836536689],[5.770339671961079,45.07512522104547],[5.770500984252533,45.07524759832216],[5.771485109798276,45.07549995582358],[5.772109092309186,45.07547611608394],[5.772109092309186,45.07547611608394],[5.772392891211686,45.07564471943747]]]}"
10,"45.21499938626778,5.686079648660756",Chronovélo 2,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.686079648660756,45.21499938626778],[5.684697495951569,45.21577741334085],[5.683934200302296,45.215759007048725],[5.682683260293715,45.21611892335331],[5.682108176219606,45.216458655164274],[5.679187654621374,45.219168653744255],[5.678037643709824,45.220235675932216],[5.675361255413469,45.22260056552924],[5.670780780595012,45.2252453864422],[5.669886170748209,45.22584349708641],[5.66565632429388,45.23164245586615],[5.665739657175457,45.232288076250164],[5.666572672234309,45.233010190051424],[5.669677795665135,45.23525693676185],[5.669559797273639,45.23665308655475],[5.668692432369753,45.23768847331573],[5.66721032546688,45.23913627038725],[5.666343264832708,45.239857454591885],[5.667403370805874,45.241162160754925],[5.668520816954564,45.241862715237154],[5.670866466129278,45.242825100945566],[5.673385682745887,45.24382023368706],[5.675125407428624,45.24451551175161],[5.67679293775219,45.24492447256427],[5.677893585299151,45.24465990211326],[5.678687306881643,45.24405408936645],[5.679104234038241,45.24373585984532]]]}"
