id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,p_7h_8h,p_8h_9h,p_9h_10h,p_10h_11h,p_11h_12h,p_12h_13h,p_13h_14h,p_14h_15h,p_15h_16h,p_16h_17h,p_17h_18h,p_18h_19h,p_tot_am,p_tot_pm,p_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,num_poste,num_ope,fid,geo_point_2d
135,Vif,38545,Boulevard Faidherbe,Boulevard Faidherbe,20200702,20200702,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,5.0,0.0,15.0,08h00 - 09h00,12.0,09h00 - 10h00,P01A,OPE 215,1,"45.056071000019365, 5.667688"
136,Vif,38545,Boulevard Faidherbe,Boulevard Faidherbe,20200702,20200702,0.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,52.0,10.0,0.0,30.0,09h00 - 10h00,22.0,08h00 - 09h00,P01B,OPE 215,2,"45.05612500001938, 5.667701"
137,Vif,38545,Avenue de Rivalta Di Torino,Avenue de Rivalta Di Torino,20200702,20200702,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,3.0,0.0,8.0,09h00 - 10h00,6.0,08h00 - 09h00,P02A,OPE 215,3,"45.05479800001937, 5.672677999999999"
138,Vif,38545,Avenue de Rivalta Di Torino,Avenue de Rivalta Di Torino,20200702,20200702,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,4.0,0.0,13.0,09h00 - 10h00,8.0,08h00 - 09h00,P02B,OPE 215,4,"45.05485700001938, 5.672723000000001"
128,Echirolles,38151,Avenue Marie Reynoard,Avenue Marie Reynoard,20200125,20200131,,,,,,,,,,,,,,,,,,,,,,2,193,5,"45.15757808604469, 5.7288195545059715"
139,Vif,38545,Avenue de Rivalta Di Torino,Avenue de Rivalta Di Torino,20200702,20200702,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,4.0,08h00 - 09h00,3.0,09h00 - 10h00,P03A,OPE 215,6,"45.05360100001938, 5.675234"
1,Grenoble,38185,Pont de la Porte de France,Pont de la Porte de France,20190926,20190926,113.0,200.0,162.0,171.0,176.0,281.0,217.0,200.0,250.0,270.0,425.0,488.0,822.0,2131.0,2953.0,164.0,304.0,488.0,18h00 - 19h00,113.0,07h00 - 08h00,1010,160,7,"45.19282097521698, 5.72008479089381"
2,Grenoble,38185,Pont Marius Gontard,Pont Marius Gontard,20190926,20190926,68.0,55.0,63.0,69.0,69.0,100.0,89.0,86.0,136.0,106.0,154.0,131.0,324.0,802.0,1126.0,65.0,115.0,154.0,17h00 - 18h00,55.0,08h00 - 09h00,1011,160,8,"45.19313347021066, 5.724042234902412"
3,Grenoble,38185,Ter Quai Stéphane Jay,Ter Quai Stéphane Jay,20190926,20190926,55.0,67.0,60.0,86.0,63.0,109.0,83.0,70.0,117.0,76.0,121.0,171.0,331.0,747.0,1078.0,66.0,107.0,171.0,18h00 - 19h00,55.0,07h00 - 08h00,1009,160,9,"45.193185403629265, 5.7264654586153645"
4,Grenoble,38185,Quai Perrière,Quai Perrière,20190926,20190926,58.0,98.0,64.0,59.0,132.0,137.0,142.0,138.0,147.0,179.0,255.0,326.0,411.0,1324.0,1735.0,82.0,189.0,326.0,18h00 - 19h00,58.0,07h00 - 08h00,1008,160,10,"45.19435749224016, 5.727565726482753"
5,Grenoble,38185,Pont Saint-Laurent,Pont Saint-Laurent,20190926,20190926,141.0,143.0,159.0,123.0,195.0,171.0,214.0,233.0,277.0,291.0,361.0,361.0,761.0,1908.0,2669.0,152.0,273.0,361.0,17h00 - 18h00,123.0,10h00 - 11h00,1012,160,11,"45.194429759969616, 5.729132502395406"
6,Grenoble,38185,Pont de la Citadelle,Pont de la Citadelle,20190926,20190926,97.0,132.0,98.0,59.0,80.0,125.0,107.0,97.0,104.0,111.0,134.0,184.0,466.0,862.0,1328.0,93.0,123.0,184.0,18h00 - 19h00,59.0,10h00 - 11h00,1013,160,12,"45.19510981335163, 5.730335741022865"
127,Echirolles,38151,Allee de Picardie,Allee de Picardie,20200125,20200131,,,,,,,,,,,,,,,,,,,,,,1,193,13,"45.15749994036154, 5.730459871681887"
