id,ogc_fid,x,y,boucle,orientation,type,fiabilite,orien_etiq,commentaire,tmja_2022_mois1,tmja_2022_mois2,tmja_2022_mois3,tmja_2022_mois4,tmja_2022_mois5,tmja_2022_mois6,tmja_2022_mois7,tmja_2022_mois8,tmja_2022_mois9,tmja_2022_mois10,tmja_2022_mois11,tmja_2022_mois12,tmja_2022_moistmja_2022,fid,geo_point_2d
521,25,1913110,4221889,521,10,double droit large,Bonne fiabilite. Utilisable pour les comptages,76.0,Validation par comparaison avec comptage ponctuel,4663.879032258064,5061.901785714286,5102.137096774193,4961.016666666667,5130.193548387097,6280.555555555554,4465.709677419353,3802.427419354839,4811.675,4594.016129032259,4625.9333333333325,4462.798387096775,4830.186969299369,1,"45.164884249841776, 5.711344053672686"
501,30,1913232,4222478,501,12,simple droit,Bonne fiabilite. Utilisable pour les comptages,260.0,Validation par comparaison avec comptage ponctuel,5185.443548387097,5596.437499999999,5702.701612903226,5551.158333333334,5715.548387096775,7295.509259259259,4989.532258064516,4299.040322580645,5441.624999999999,5170.2661290322585,5255.233333333334,5008.379032258064,5434.239559687375,2,"45.17015214753706, 5.7131480264681045"
1451,50,1915488,4222214,1451,340,double droit large,Inutilisable pour les comptages,292.0,Inapte au comptage,1.435483870967742,1.1964285714285714,12.596774193548386,10210.8,16079.999999999993,14111.351851851843,336.41129032258056,9.70967741935484,4.083333333333334,4.314516129032258,990.4583333333334,7.911290322580644,3480.8557482790006,3,"45.1670878958861, 5.741723847387878"
1551,42,1914756,4221329,1551,266,double droit large,Inutilisable pour les comptages,,Différence avec ponctuel (-45%) / Observation terrain PC feux,14442.008064516129,14229.285714285716,13959.790322580646,13919.508333333331,13573.120967741936,14833.75925925926,13061.459677419352,12930.282258064515,13907.283333333333,13681.637096774191,14427.3,14513.47580645161,13956.575902813333,4,"45.15935148078644, 5.732036936398457"
31,18,1913131,4223582,31,86,double droit etroit,Bonne fiabilite. Utilisable pour les comptages,,Validation par comparaison avec comptage ponctuel,9852.943548387097,10278.169642857143,11159.290322580646,11350.008333333331,11451.33870967742,14415.407407407409,10568.354838709674,9978.217741935488,12073.675,11494.137096774188,11708.75,11351.919354838712,11306.850999708426,5,"45.18010688658654, 5.712335893328637"
902,21,1912477,4222178,902,91,double droit large,Bonne fiabilite. Utilisable pour les comptages,,Validation par comparaison avec comptage ponctuel,4898.620967741935,4750.267857142857,4958.645161290321,4589.85,4781.677419354838,8747.888888888889,4253.814516129032,3850.120967741936,5304.258333333333,4980.548387096775,5210.574999999998,5188.975806451613,5126.27027543096,6,"45.16768021842284, 5.70341829528973"
491,31,1913303,4222938,491,192,double droit large,Bonne fiabilite. Utilisable pour les comptages,254.0,Validation par comparaison avec comptage ponctuel,5680.790322580645,6286.053571428572,6218.790322580645,6117.549999999999,6099.233870967742,8518.083333333332,5314.153225806452,4741.580645161291,9372.616666666669,35995.96774193547,35995.833333333336,35992.741935483864,13861.116247439835,7,"45.17426088914538, 5.714252899026754"
901,22,1912438,4222198,901,90,double droit large,Inconnue,,A valider,71997.84677419353,71991.07142857142,71894.08064516127,23544.29166666666,8017.653225806453,12980.268518518518,8298.68548387097,7698.185483870968,10347.775,10009.72580645161,10047.700000000004,9653.709677419356,26373.41614254423,8,"45.16786792097199, 5.702935570267243"
906,23,1912588,4222303,906,181,double droit large,Inutilisable pour les comptages,,Inapte au comptage,,,,,,,,,,,,,,9,"45.168766792167695, 5.70488236722285"
903,24,1912628,4222144,903,301,double droit large,Bonne fiabilite. Utilisable pour les comptages,323.0,Validation par comparaison avec comptage ponctuel,47999.79032258067,47994.03571428573,47930.096774193575,18982.80833333333,9467.653225806447,13674.60185185185,8326.91129032258,7027.298387096774,9712.025,9219.00806451613,9544.05,9040.677419354835,19909.91303194516,10,"45.167324322958905, 5.705330633127202"
511,26,1913135,4222092,511,189,double droit large,Bonne fiabilite. Utilisable pour les comptages,78.0,Validation par comparaison avec comptage ponctuel,6437.475806451614,6080.991071428571,11312.161290322578,21600.0,21599.99999999999,14332.749999999998,4968.306451612903,4829.403225806451,5577.65,5308.9516129032245,5396.333333333334,5098.008064516128,9378.502571364565,11,"45.16670861835186, 5.711758099591758"
1541,40,1914515,4221368,1541,355,double droit large,Inutilisable pour les comptages,269.0,,55.35483870967742,1.7857142857142856,17.193548387096776,3.8833333333333337,18.266129032258064,14753.08333333333,24000.00000000001,24000.00000000001,24000.0,24000.00000000001,24000.0,24000.00000000001,13237.46390809012,12,"45.159773924053766, 5.7289868129480865"
411,128,1913711,4224971,411,151,double droit large,Inutilisable pour les comptages,,Différence avec ponctuel (-25%),9921.774193548386,11059.76785714286,10831.024193548388,10859.858333333332,10511.443548387097,11964.305555555557,10186.193548387097,9537.983870967742,10435.333333333334,10068.98387096774,10211.258333333331,9883.92741935484,10455.987838154972,13,"45.19242587348127, 5.720305881010011"
533,27,1913009,4221208,533,306,double droit large,Inconnue,325.0,A valider,9.661290322580644,10.696428571428571,2435.435483870968,21931.1,106.38709677419354,1908.4629629629628,25.241935483870968,13718.766129032254,24000.0,23997.84677419356,23999.441666666666,23996.76612903227,11344.983824742563,14,"45.15879746511424, 5.70977291756588"
532,28,1912951,4221253,532,210,tourne a droite double,Inconnue,63.0,A valider,1303.3306451612905,1520.151785714285,2466.08064516129,10326.258333333331,1622.9516129032256,2830.990740740741,812.3709677419356,6743.41935483871,11250.408333333333,11326.056451612903,11318.63333333333,11061.709677419356,6048.530156774478,15,"45.15921584426639, 5.709051996765881"
531,29,1912997,4221333,531,11,simple droit,Bonne fiabilite. Utilisable pour les comptages,261.0,Validation par comparaison avec comptage ponctuel,2428.145161290323,5440.571428571428,6871.42741935484,8618.591666666667,4515.564516129031,5873.861111111112,3521.927419354838,3196.943548387097,5444.941666666666,5181.677419354838,1099.2,301.2177419354838,4374.505758235194,16,"45.159921045572446, 5.709670471551636"
462,32,1913550,4224035,462,11,simple droit,Bonne fiabilite. Utilisable pour les comptages,80.0,Validation par comparaison avec comptage ponctuel,4537.709677419355,4937.642857142858,4940.822580645161,5078.091666666666,4978.040322580646,6508.333333333334,4517.4838709677415,4023.193548387096,4863.008333333333,4660.241935483871,4756.241666666667,4529.491935483871,4860.858477342551,17,"45.184052433233596, 5.717858674193856"
1581,43,1914762,4221265,1581,87,double droit large,Inconnue,,A valider,3910.314516129032,4246.0,4382.846774193548,4137.566666666668,4087.209677419354,5228.055555555556,3512.040322580644,3124.9193548387098,4001.558333333333,3900.209677419354,4197.616666666668,4206.975806451613,4077.942779271207,18,"45.158774681517656, 5.732083783167686"
32,19,1913010,4223588,32,268,double droit etroit,Bonne fiabilite. Utilisable pour les comptages,,Validation par comparaison avec comptage ponctuel,11212.854838709676,11545.249999999998,11798.46774193548,12274.966666666667,12437.887096774191,15596.777777777776,12413.56451612903,11333.33064516129,13062.733333333334,12538.73387096774,12481.666666666664,12178.927419354835,12406.263381123055,19,"45.18020158429374, 5.710804710042459"
52,4,1914088,4223738,52,250,double droit etroit,Inconnue,24.0,A valider,10145.330645161292,10353.04464285714,10574.58064516129,10388.366666666663,10567.33870967742,12544.296296296294,9531.282258064515,8366.677419354839,10970.441666666666,10556.274193548388,10794.749999999998,10248.750000000002,10420.094428621209,20,"45.181222046672865, 5.724570989436702"
61,5,1914156,4223745,61,69,double droit etroit,Inconnue,16.0,A valider,248.3870967741936,0.0,14.516129032258064,245.0,51.61290322580645,5394.444444444445,46.77419354838709,35.483870967741936,13.333333333333334,59.67741935483871,81.66666666666667,27.41935483870968,518.1929510155317,21,"45.18126285205018, 5.725435128325918"
63,6,1914329,4223804,63,333,simple droit,Inconnue,299.0,A valider,41.33064516129031,0.0,2.411290322580645,40.825,8.57258064516129,899.0277777777777,7.782258064516129,5.903225806451612,2.216666666666667,10.008064516129032,13.591666666666669,4.564516129032258,86.35280764635603,22,"45.18174554804054, 5.727663193086952"
44,8,1913497,4223610,44,83,double droit etroit,Inconnue,,A valider,10135.064516129032,10360.919642857143,10991.209677419352,10996.399999999998,11100.379032258064,14257.388888888889,10012.016129032256,9103.84677419355,11453.708333333328,11154.467741935485,11522.8,10934.467741935485,11001.889039831882,23,"45.1802506100631, 5.71699791477574"
