ogc_fid,anne_maj,type,LaMetro,longueur
1489,2016.0,chronovelo,True,169.2840963419029
1490,2016.0,chronovelo,True,167.3316443438769
1491,2016.0,chronovelo,True,52.37264511926254
1492,2016.0,chronovelo,True,77.11361701685257
1625,2016.0,chronovelo,True,194.74115159878363
1627,2019.0,chronovelo,True,21.33015400690188
1628,2016.0,chronovelo,True,225.1726244526458
1629,2019.0,chronovelo,True,457.52921202995657
1645,2019.0,chronovelo,True,248.1501797420031
1923,2016.0,chronovelo,True,103.44876533802966
1487,2022.0,chronovelo,True,270.7476502951341
1488,2022.0,chronovelo,True,611.2388393830755
1504,2016.0,chronovelo,True,148.76927808810643
1505,2016.0,chronovelo,True,797.4360915784857
2821,2022.0,chronovelo,True,434.9369855285756
1630,2016.0,chronovelo,True,368.4858584597242
1631,2016.0,chronovelo,True,224.1092969945824
2977,2022.0,chronovelo,True,432.84500233964934
2001,2022.0,chronovelo,True,226.26672235194874
2002,2022.0,chronovelo,True,590.9872246199891
1616,2016.0,chronovelo,True,290.32346510482375
1617,2016.0,chronovelo,True,441.92868235202695
1618,2016.0,chronovelo,True,113.44619396968996
1619,2016.0,chronovelo,True,225.68392661418588
1621,2016.0,chronovelo,True,155.50028486417523
1622,2019.0,chronovelo,True,27.46812730793483
1623,2019.0,chronovelo,True,48.33908095320317
1615,2016.0,chronovelo,True,133.5622313415977
1646,2022.0,chronovelo,True,297.5325016619387
1767,2020.0,chronovelo,True,29.143539981817554
1759,2020.0,chronovelo,True,999.0449625975798
1725,2016.0,chronovelo,True,555.2999108098663
1658,2022.0,chronovelo,True,676.0901306157575
1763,2020.0,chronovelo,True,895.6501325854996
2614,2022.0,chronovelo,True,203.93193493838197
1896,2022.0,chronovelo,True,439.81314448004036
1893,2016.0,chronovelo,True,388.4663766793484
1885,2016.0,chronovelo,True,807.4868814788961
1892,2022.0,chronovelo,True,103.7158306267815
1831,2022.0,chronovelo,True,652.7685084104521
1818,2022.0,chronovelo,True,588.411755947855
1975,2016.0,chronovelo,True,94.5619133831046
1493,2022.0,chronovelo,True,231.56211774607587
1920,2016.0,chronovelo,True,712.9353308094743
1922,2016.0,chronovelo,True,174.74646692639612
1501,2016.0,chronovelo,True,559.5732481677015
1502,2016.0,chronovelo,True,129.47993715449024
1503,2016.0,chronovelo,True,140.60420325901356
1847,2022.0,chronovelo,True,547.7198782655695
1846,2022.0,chronovelo,True,128.29626102537614
2620,2022.0,chronovelo,True,614.3814094812665
2609,2020.0,chronovelo,True,1061.9588901002987
2610,2019.0,chronovelo,True,112.1805420011081
2611,2020.0,chronovelo,True,83.39497130500595
2605,2016.0,chronovelo,True,95.9953224664101
2607,2016.0,chronovelo,True,520.4548586990509
2068,2016.0,chronovelo,True,110.57234661016807
2232,2016.0,chronovelo,True,594.5274702382492
2233,2019.0,chronovelo,True,23.00928038373213
