geo_point_2d,nom,insee,adresse,type_usagers,gratuit,nb_places,nb_pr,hauteur_max,num_siret,tarif_pmr,tarif_1h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,type,commune,epci,nb_pmr,nb_velo,nb_covoit,url,nb_voitures_electriques,nb_2r_el,nb_autopartage,nb_2_rm,info
"45.394138,6.075166",ALLEVARD PLACE DE VERDUN,38006,"Place de Verdun, 38580, Allevard",tous,1.0,12,0,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Allevard,LeGresivaudan,,,,,,,,,
"45.264254,5.878285",BERNIN CLOYÈRES,38039,"Chemin des Fontaines, 38190, Bernin",tous,1.0,22,22,220,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Bernin,LeGresivaudan,1.0,8.0,,,,,,,
"45.135023,5.771173",BRIÉ ET ANGONNES - TAVERNOLLES,38059,"Route de Jarrie, 38320, Brié-et-Angonnes",tous,1.0,36,36,330,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Brié-et-Angonnes,LaMetro,1.0,10.0,2.0,,,,,,
"45.353332,5.597965",PLAN MENU,38133,"Route de Grenoble, 38500, Coublevie",tous,1.0,150,150,190,24380098400029,gratuit,,,,,,,enclos_en_surface,parking,Coublevie,PaysVoironnais,3.0,14.0,,,,,,,
"45.270568,5.893637",CROLLES RAFOUR,38140,"rue Ambroise Croisat, 38920, Crolles",tous,1.0,41,0,200,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Crolles,LeGresivaudan,,0.0,41.0,,,,,,
"45.20669,5.847088",DOMENE LES ARNAUDS,38150,"106 Chemin des Contamines, 38420, Domène",tous,1.0,40,40,330,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Domène,LaMetro,1.0,,,,,,,,
"45.152657,5.718526",ECHIROLLES - GARE,38151,"Avenue des Etats Généraux, 38130, Echirolles",tous,,100,100,220,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Échirolles,LaMetro,3.0,,,,,,,,
"45.147116,5.754957",EYBENS - LE VERDERET,38158,"Avenue des Maquis de l’Oisans, 38320, Eybens",tous,,43,43,210,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Eybens,LaMetro,3.0,15.0,,,,,,,
"45.254102,5.660793",LE FONTANIL CORNILLON - PALLUEL,38170,"Rue des Mûriers, 38120, Fontanil-Cornillon",tous,,189,189,210,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Fontanil-Cornillon,LaMetro,6.0,,,,,,,,
"45.187638,5.783864",GIERES - PLAINE DES SPORTS,38179,"Rue des Glairons, 38610, Gières",tous,,160,160,235,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Gières,LaMetro,8.0,,,,,,,,
"45.343037,5.975274",GARE DE GONCELIN,38181,"Place de la Gare, 38570, Goncelin",tous,1.0,130,130,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Goncelin,LeGresivaudan,2.0,10.0,,,,,,,
"45.18878,5.716033",ESTACADE,38185,"22 rue Colonel Denfert Rochereau, 38000, Grenoble",tous,,581,0,240,84935057400018,normal_payant,2.1,7.4,10.0,29.0,0.0,0.0,ouvrage,parking,Grenoble,LaMetro,12.0,,0.0,https://www.effia.com/parking/parking-grenoble-estacade-park-grenoble-alpes-metropole,3.0,0.0,0.0,12.0,
"45.191959,5.712008",GARES - EUROPOLE,38185,"2 avenue Doyen Louis Weil, 38000, Grenoble",tous,,548,0,210,84935057400018,normal_payant,2.1,7.4,10.0,29.0,0.0,0.0,ouvrage,parking,Grenoble,LaMetro,21.0,,3.0,https://www.effia.com/parking/parking-grenoble-gares-europole-park-grenoble-alpes-metropole,0.0,0.0,0.0,12.0,"Dépose minute, 30 premières minutes gratuites"
"45.185748,5.726327",VICTOR HUGO,38185,"Rue François Raoult, 38000 Grenoble",tous,,660,0,190,84935057400018,normal_payant,2.1,7.4,10.0,29.0,0.0,0.0,ouvrage,parking,Grenoble,LaMetro,14.0,,0.0,https://www.effia.com/parking/parking-grenoble-victor-hugo-park-grenoble-alpes-metropole,4.0,0.0,0.0,0.0,
"45.190778,5.729321",LAFAYETTE,38185,"21 rue Lafayette, 38000, Grenoble",tous,,285,0,190,84935057400018,normal_payant,2.1,7.4,10.0,29.0,0.0,0.0,ouvrage,parking,Grenoble,LaMetro,5.0,,0.0,https://www.effia.com/parking/parking-grenoble-lafayette-park-grenoble-alpes-metropole,3.0,0.0,0.0,6.0,
"45.194399,5.732239",NOTRE DAME - MUSÉE,38185,"50 av du Maréchal Randon, 38000 Grenoble",tous,,851,0,190,84935057400018,normal_payant,2.2,7.7,10.5,33.0,0.0,0.0,ouvrage,parking,Grenoble,LaMetro,16.0,,3.0,https://www.effia.com/parking/parking-grenoble-notre-dame-musee-park-grenoble-alpes-metropole,4.0,0.0,0.0,10.0,
