geo_point_2d,nom,insee,adresse,emplacements,info,type,commune,code,epci,barette_num
"45.184921,5.713748",Jaurès,38185,"8, rue Alphonse Terray - Grenoble",3,,stationstaxi,Grenoble,0,LaMetro,
"45.191326,5.715636",Gare - Brenier,38185,Rue Casimir Brenier - Grenoble,10,,stationstaxi,Grenoble,1,LaMetro,
"45.184337,5.740062",Clémenceau,38185,Boulevard Clémenceau - Grenoble,4,Palais des sports,stationstaxi,Grenoble,2,LaMetro,
"45.15934,5.73187",Grand Place,38185,Avenue de l’Europe - Grenoble,9,,stationstaxi,Grenoble,3,LaMetro,
"45.189943,5.725556",Félix Poulat,38185,Rue Félix Poulat - Grenoble,4,22h/4h,stationstaxi,Grenoble,4,LaMetro,
"45.156881,5.734754",Alpexpo,38185,Rue Henri Barbusse - Grenoble,5,,stationstaxi,Grenoble,5,LaMetro,
"45.192214,5.715744",Gare - Isère,38185,Rue de l'Isère - Grenoble,10,Côté pair,stationstaxi,Grenoble,6,LaMetro,
"45.1800016,5.7118754",Vallier,38185,Boulevard Joseph Vallier - Grenoble,7,Station-service,stationstaxi,Grenoble,7,LaMetro,1047.0
"45.183982,5.732378",Mistral,38185,Boulevard Marechal Joffre  - Grenoble,3,,stationstaxi,Grenoble,8,LaMetro,
"45.190415,5.716753",Gare - Lorraine,38185,Rue du Moulin de Canel  - Grenoble,6,Côté pair,stationstaxi,Grenoble,9,LaMetro,
"45.171718,5.733251",MC2,38185,Rue Paul Claudel  - Grenoble,4,Parking MC2,stationstaxi,Grenoble,10,LaMetro,
"45.16473,5.710437",Reynier,38185,Avenue Paul Verlaine - Grenoble,3,Sous le pont,stationstaxi,Grenoble,11,LaMetro,
"45.190518,5.729514",République,38185,Rue de la République - Grenoble,9,Côté pair,stationstaxi,Grenoble,12,LaMetro,
"45.199931,5.740472",Hôpitaux,38185,Avenue Maréchal Randon - Grenoble,3,"Côté impair, pont des Hôpitaux",stationstaxi,Grenoble,13,LaMetro,
"45.181528,5.726924",Rivet,38185,"7-9, Rue de Stalingrad - Grenoble",4,,stationstaxi,Grenoble,14,LaMetro,
"45.191688,5.714936",Gare,38185,Parvis de la Gare  - Grenoble,14,,stationstaxi,Grenoble,15,LaMetro,
"45.189497,5.724449",Victor Hugo,38185,Place Victor Hugo  - Grenoble,14,Côté Tram,stationstaxi,Grenoble,16,LaMetro,
"45.191227,5.713659",Europole,38185,Rue de la Frise  - Grenoble,5,Côté Gare,stationstaxi,Grenoble,17,LaMetro,
"45.1842,5.7529",Ambroise Croizat,38421,Avenue Ambroise Croizat - Saint-Martin-d'Hères,6,,stationstaxi,Saint-Martin-d'Hères,18,LaMetro,
"45.15876,5.728535",Esmonin,38151,Avenue Edmond Esmonin - Echirolles,4,,stationstaxi,Échirolles,19,LaMetro,
"45.14726,5.72305",Les Cèdres,38151,Rue Albert Londres - Echirolles,3,,stationstaxi,Échirolles,20,LaMetro,
"45.210125,5.762533",Gresivaudan-Aiguinards,38229,Avenue du Gresivaudan - Meylan,6,,stationstaxi,Meylan,21,LaMetro,
"45.243095,5.632017",Saint Jean,38281,Avenue Saint Jean - Noyarey,1,,stationstaxi,Noyarey,23,LaMetro,
"45.071641,5.643157",Route du Vercors,38436,Route du Vercors - Saint-Paul-de-Varces,1,,stationstaxi,Saint-Paul-de-Varces,24,LaMetro,
"45.136335,5.824912",Eugène Riband,38529,Place Eugène Riband - Vaulnaveys-le-Haut,2,,stationstaxi,Vaulnaveys-le-Haut,25,LaMetro,
"45.118761,5.810867",Tuilerie,38529,Rond-point de la Tuilerie - Vaulnaveys-le-Haut,1,,stationstaxi,Vaulnaveys-le-Haut,26,LaMetro,
"45.138027,5.748646",Saules,38057,Chemin des Saules - Bresson,1,,stationstaxi,Bresson,29,LaMetro,
"45.192139,5.688262",Vercors,38169,108-110 avenue du Vercors - Fontaine,6,,stationstaxi,Fontaine,30,LaMetro,
"45.070113,5.758",Mairie,38279,Place de la mairie – Notre-Dame-de-Mésage,1,,stationstaxi,Notre-Dame-de-Mésage,31,LaMetro,
"45.207326,5.708299",Conrad Killian,38423,rue Conrad Killian  – Saint-Martin-le-Vinoux,1,,stationstaxi,Saint-Martin-le-Vinoux,32,LaMetro,
"45.210954,5.665419",Charles de Gaulle,38474,Place Charles de Gaulle – Sassenage,1,,stationstaxi,Sassenage,33,LaMetro,
"45.088385,5.683282",La Poste,38524,"30, avenue Joliot Curie – Varces-Allières-et-Risset",1,,stationstaxi,Varces-Allières-et-Risset,34,LaMetro,
"45.10191616801617,5.80305512836435",Noyers,38528,"195, Promenade des Noyers – Vaulnaveys-le-Bas",1,,stationstaxi,Vaulnaveys-le-Bas,35,LaMetro,
"45.07534068095769,5.771804370401353",Office Tourisme,38562,Place du Château – Vizille,1,,stationstaxi,Vizille,36,LaMetro,
"45.05612,5.66857",Libération,38545,Place de la Libération – Vif,2,,stationstaxi,Vif,37,LaMetro,
"45.15967,5.76033",Henri Dunant,38309,Avenue Henri Dunant – Poisat,1,,stationstaxi,Poisat,38,LaMetro,
"45.25402,5.66582",Rafour,38170,Rue du Rafour – Le-Fontanil-Cornillon,1,,stationstaxi,Fontanil-Cornillon,39,LaMetro,
"45.07959,5.73544",Pavillon,38071,Avenue du Pavillon – Champ-sur-Drac,1,,stationstaxi,Champ-sur-Drac,40,LaMetro,
"45.11925,5.69343",Ridelet,38111,Avenue de la Ridelet – Claix,1,,stationstaxi,Claix,41,LaMetro,
"45.11865,5.69313",Pont Rouge,38111,Avenue de la Libération – Claix,1,,stationstaxi,Claix,42,LaMetro,
"45.12186,5.69924",Foyer Municipal,38317,Avenue des Résistants – Le-Pont-de-Claix,1,,stationstaxi,Le Pont-de-Claix,43,LaMetro,
"45.125223,5.69968",Gare,38317,Avenue de la Gare – Le-Pont-de-Claix,1,,stationstaxi,Le Pont-de-Claix,44,LaMetro,
"45.147864,5.751198",Jaurès,38158,Avenue Jean Jaurès – Eybens,1,,stationstaxi,Eybens,45,LaMetro,
"45.295852,5.751198",Jaurès,38565,Avenue Honoré de Balzac – Voreppe,1,,stationstaxi,Sarcenas,46,LaMetro,
"45.198716,5.746961",CHU Belledonne,38516,Parking CHU Belledonne - La Tronche,2,,stationstaxi,La Tronche,66,LaMetro,
"45.18089,5.696498",Mairie,38485,rue Roger Barbe - Seyssinet-Pariset,3,,stationstaxi,Seyssinet-Pariset,67,LaMetro,
"45.24044,5.664293",Centre Commercial,38382,"rue des Abattoirs, parking de l'hypermarché - Saint-Egrève",3,,stationstaxi,Saint-Égrève,68,LaMetro,
"45.043784,5.701547",Gare,38388,rue de la Gare - Saint-Georges-de-Commiers,1,,stationstaxi,Saint-Georges-de-Commiers,69,LaMetro,
"45.03884,5.701365",Mairie,38388,rue de la Mairie - Saint-Georges-de-Commiers,1,,stationstaxi,Saint-Georges-de-Commiers,70,LaMetro,
"45.024982,5.64601",Le Gua,38187,"19, avenue du Vercors , Le Gua",1,,stationstaxi,Le Gua,85,LaMetro,
