type,geo_point_2d,city,name,visible,epci
clusters,"45.13625,5.69496",Le Pont-de-Claix,120 Toises,1.0,LaMetro
clusters,"45.20341,5.71433",Saint-Martin-le-Vinoux,Résistance,1.0,LaMetro
clusters,"45.17106,5.75682",Saint-Martin-d'Hères,8 mai 1945,1.0,LaMetro
clusters,"45.18388,5.71174",Grenoble,Abbé Grégoire,1.0,LaMetro
clusters,"45.14292,5.71527",Échirolles,Auguste Delaune,1.0,LaMetro
clusters,"45.20556,5.76449",Meylan,Aiguinards-Hexagone,1.0,LaMetro
clusters,"45.18168,5.73167",Grenoble,Albert 1er de Belgique,1.0,LaMetro
clusters,"45.13148,5.81903",Vaulnaveys-le-Haut,Les Alberges,1.0,LaMetro
clusters,"45.05795,5.68472",Vif,Allée des Granges,1.0,LaMetro
clusters,"45.18422,5.71064",Grenoble,D'Alembert,1.0,LaMetro
clusters,"45.08152,5.76865",Vizille,L'Alliance,1.0,LaMetro
clusters,"45.17398,5.71427",Grenoble,Alliés,1.0,LaMetro
clusters,"45.17204,5.76518",Saint-Martin-d'Hères,Les Alloves,1.0,LaMetro
clusters,"45.15449,5.73379",Eybens,Alpexpo,1.0,LaMetro
clusters,"45.18911,5.7193",Grenoble,Alsace-Lorraine,1.0,LaMetro
clusters,"45.17186,5.70495",Grenoble,Anatole France,1.0,LaMetro
clusters,"45.19272,5.67806",Fontaine,Ancienne Mairie,1.0,LaMetro
clusters,"45.15978,5.68178",Seyssins,Ancienne Gare,1.0,LaMetro
clusters,"45.21793,5.77933",Meylan,Ancienne Mairie,1.0,LaMetro
clusters,"45.13993,5.77617",Brié-et-Angonnes,Les Angonnes,1.0,LaMetro
clusters,"45.17782,5.77786",Saint-Martin-d'Hères,Anguisses,1.0,LaMetro
clusters,"45.09462,5.74417",Jarrie,André Malraux,1.0,LaMetro
clusters,"45.19709,5.71174",Grenoble,Arago,1.0,LaMetro
clusters,"45.18551,5.69465",Seyssinet-Pariset,Aristide Bergès,1.0,LaMetro
clusters,"45.15433,5.68029",Seyssins,L'Argoud,1.0,LaMetro
clusters,"45.17537,5.74447",Grenoble,André Argouges,1.0,LaMetro
clusters,"45.16359,5.73047",Grenoble,Arlequin,1.0,LaMetro
clusters,"45.20683,5.84788",Domène,Les Arnauds,1.0,LaMetro
clusters,"44.99692,5.60258",Le Gua,L'Arzelier,1.0,LaMetro
clusters,"45.14483,5.70962",Échirolles,Auguste Ferrier,1.0,LaMetro
clusters,"45.18399,5.73965",Grenoble,Auguste Ravier,1.0,LaMetro
clusters,"45.14279,5.73589",Bresson,Avenue de la République,1.0,LaMetro
clusters,"45.16681,5.70594",Grenoble,Bachelard,1.0,LaMetro
clusters,"45.17813,5.73614",Grenoble,Bajatière,1.0,LaMetro
clusters,"45.12521,5.68811",Claix,La Balmette,1.0,LaMetro
clusters,"45.08728,5.69421",Varces-Allières-et-Risset,Balzac,1.0,LaMetro
clusters,"45.21726,5.71279",Saint-Martin-le-Vinoux,La Banchardière,1.0,LaMetro
clusters,"45.25801,5.70815",Quaix-en-Chartreuse,Le Barbet,1.0,LaMetro
clusters,"45.23097,5.69175",Saint-Égrève,Collège Barnave,1.0,LaMetro
clusters,"45.07181,5.65496",Saint-Paul-de-Varces,La Bascule,1.0,LaMetro
clusters,"45.25288,5.74174",Quaix-en-Chartreuse,Bas de Mont-Quaix,1.0,LaMetro
clusters,"45.25635,5.71059",Quaix-en-Chartreuse,Bas de Petesset,1.0,LaMetro
clusters,"45.25399,5.70142",Quaix-en-Chartreuse,Le Bas de Quaix,1.0,LaMetro
clusters,"45.20444,5.7376",La Tronche,Bastille,1.0,LaMetro
clusters,"45.11083,5.67865",Claix,Les Bauches,1.0,LaMetro
clusters,"44.97996,5.62235",Miribel-Lanchâtre,Bayanne,1.0,LaMetro
clusters,"45.14591,5.70478",Échirolles,Bayard,1.0,LaMetro
clusters,"45.26586,5.6998",Proveysieux,Le Bazeau,1.0,LaMetro
clusters,"45.21153,5.7907",Meylan,Les Béalières,1.0,LaMetro
clusters,"45.12535,5.67234",Claix,Beau Dunois,1.0,LaMetro
clusters,"45.13855,5.77355",Brié-et-Angonnes,Beaulieu,1.0,LaMetro
clusters,"45.21009,5.64861",Sassenage,Beaurevoir,1.0,LaMetro
clusters,"45.17591,5.69696",Seyssinet-Pariset,Beau Site,1.0,LaMetro
clusters,"45.16417,5.71792",Grenoble,Beauvert,1.0,LaMetro
clusters,"45.15899,5.68325",Seyssins,Beauvoir,1.0,LaMetro
clusters,"45.16106,5.75525",Eybens,Bel Air,1.0,LaMetro
clusters,"45.22268,5.684",Saint-Égrève,Belledonne,1.0,LaMetro
clusters,"45.24406,5.69244",Saint-Égrève,Bellevue,1.0,LaMetro
clusters,"45.11196,5.66548",Claix,Bellevue,1.0,LaMetro
clusters,"45.1765,5.68821",Seyssinet-Pariset,Belvédère,1.0,LaMetro
clusters,"45.18417,5.69071",Seyssinet-Pariset,Bergès - Vercors,1.0,LaMetro
clusters,"45.21882,5.78312",Meylan,Bérivière,1.0,LaMetro
clusters,"45.08998,5.69249",Varces-Allières-et-Risset,Berliognière,1.0,LaMetro
clusters,"45.18878,5.70588",Grenoble,Berriat-Le Magasin,1.0,LaMetro
clusters,"45.2748,5.61283",Veurey-Voroize,Le Béryl,1.0,LaMetro
clusters,"45.19246,5.7709",Gières,Bibliothèques Universitaires,1.0,LaMetro
clusters,"45.23522,5.66953",Saint-Égrève,La Biolle - Gare,1.0,LaMetro
clusters,"45.19195,5.77474",Gières,Universités - Biologie,1.0,LaMetro
clusters,"45.18886,5.73639",Grenoble,Bir Hakeim,1.0,LaMetro
clusters,"45.21064,5.65625",Sassenage,Blanc Fontaine,1.0,LaMetro
clusters,"45.17585,5.75684",Saint-Martin-d'Hères,Parc Jo Blanchon,1.0,LaMetro
clusters,"45.24058,5.67257",Saint-Égrève,Les Bonnais,1.0,LaMetro
clusters,"45.17875,5.7509",Grenoble,Bon Pasteur,1.0,LaMetro
clusters,"45.18077,5.69437",Seyssinet-Pariset,Bouchayer - Hôtel de Ville,1.0,LaMetro
clusters,"45.11962,5.66899",Claix,Boulodrome-Ecole,1.0,LaMetro
clusters,"45.19187,5.81647",Murianette,Le Bourg,1.0,LaMetro
clusters,"45.15765,5.68975",Seyssins,Le Bournet,1.0,LaMetro
clusters,"45.1377,5.74771",Bresson,Bresson Mairie,1.0,LaMetro
clusters,"45.11528,5.78405",Brié-et-Angonnes,Mont Rolland,1.0,LaMetro
clusters,"45.11784,5.78285",Brié-et-Angonnes,L'Olympe,1.0,LaMetro
clusters,"45.11119,5.78653",Brié-et-Angonnes,Brié Église,1.0,LaMetro
clusters,"45.19299,5.81948",Murianette,La Briot,1.0,LaMetro
clusters,"45.16635,5.73118",Grenoble,La Bruyère-Parc Jean Verlhac,1.0,LaMetro
clusters,"45.21581,5.77226",Corenc,Buclos,1.0,LaMetro
clusters,"45.22308,5.71778",Saint-Martin-le-Vinoux,La Buisseratière,1.0,LaMetro
clusters,"45.20884,5.79756",Meylan,Busserolles,1.0,LaMetro
clusters,"45.1815,5.72195",Grenoble,Colonel Dumont,1.0,LaMetro
clusters,"45.08593,5.77127",Vizille,Camping,1.0,LaMetro
clusters,"45.05212,5.7104",Saint-Georges-de-Commiers,Le Canal,1.0,LaMetro
clusters,"45.24018,5.66619",Saint-Égrève,Cap38,1.0,LaMetro
clusters,"45.21732,5.68127",Saint-Égrève,Cap des H',1.0,LaMetro
clusters,"45.17614,5.72539",Grenoble,Capuche,1.0,LaMetro
clusters,"45.16238,5.76305",Saint-Martin-d'Hères,Le Carina,1.0,LaMetro
